Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
d86d613d5395,10653207,Crossett Park Loop,AllTrails,2.4,16.0,150,1,42.0,Loop,,4.9,13,Crossett City Park,Arkansas,United States,33.11573,-91.97696,https://www.alltrails.com/trail/us/arkansas/crossett-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzEyODU2MTQvNWJjNmJmMWI3NTgwN2JjYTY0YzcwM2VkMTAwNDM3MjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c1c334fb0bc6,11029667,Lucas Pond Trail,AllTrails,0.7,3.0,147,1,12.0,Out & Back,,5.0,1,Crossett City Park,Arkansas,United States,33.11671,-91.97281,https://www.alltrails.com/trail/us/arkansas/lucas-pond-trail,,2025-06-18
92c44b92ed18,10379885,Spring Branch Trail,AllTrails,2.0,140.0,370,1,43.0,Loop,,4.5,56,Logoly State Park,Arkansas,United States,33.34948,-93.1835,https://www.alltrails.com/trail/us/arkansas/spring-branch-trail--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjk1NDk2MTIvNzllMDU1MjU4YTA2MzdlZmEzMmY0MTkwM2M4NzVlNjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5dd17f1a2f62,10386535,Crane's Fly Trail,AllTrails,1.0,75.0,354,1,22.0,Loop,,4.1,30,Logoly State Park,Arkansas,United States,33.34715,-93.18391,https://www.alltrails.com/trail/us/arkansas/cranes-fly-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjA5MTkxMDMvNzQ5OTJmNjZiZjdjMjkyYzFlNDhmOTEwYjYwZDU2OTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
6db220722ef5,10726483,Moro Bay Low Water Trail,AllTrails,0.6,13.0,82,1,11.0,Loop,,4.0,18,Moro Bay State Park,Arkansas,United States,33.29825,-92.34886,https://www.alltrails.com/trail/us/arkansas/moro-bay-low-water-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQyMTk5OTkvODlhNThhZmE2NWQ3Zjc2ODRhZmI5MTBlNDljNjkxZWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
041d657d7877,10726505,Moro Bay Deer Run Trail,AllTrails,0.5,6.0,95,1,9.0,Loop,,4.5,15,,Arkansas,United States,33.30083,-92.34447,https://www.alltrails.com/trail/us/arkansas/moro-bay-deer-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzM2MTM0MjIvMmI3ZDI4ZTc4NTc1ODA0YjU1ZTRmOTMzNTczMTNlMTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
bc74fa7170f7,10776109,Delta Woodlands Trail,AllTrails,1.0,,124,1,17.0,Loop,,3.5,9,Lake Chicot State Park,Arkansas,United States,33.37154,-91.19551,https://www.alltrails.com/trail/us/arkansas/delta-woodlands-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIxNTE5NzcvNDg5OTdmOTllMjM1NDFiNjNmM2Q1MjJkMWQyMjkwMWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
052cac33ae5d,10250487,Nix Creek Trail,AllTrails,4.4,35.0,311,1,77.0,Out & Back,,4.4,123,North Texarkana Park,Arkansas,United States,33.46035,-94.0207,https://www.alltrails.com/trail/us/arkansas/nix-creek-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzgyODgwMDgvZGUzYjY0Y2E4Nzc1Y2JkOTc2ZjU5YjdiZDkyZmM1MGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
601a26f5d91f,11329568,Texarkana Razorback Trail,AllTrails,1.1,49.0,357,1,22.0,Loop,,4.4,6,,Arkansas,United States,33.47601,-94.03074,https://www.alltrails.com/trail/us/arkansas/texarkana-razorback-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjEzNTY0ODYvZTg0NjViNmFlY2E3N2FjMmIzYWU3OWUxOTIyYjgyOWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e17a83db2ee1,11343642,Warren Prairie Natural Area Loop,AllTrails,2.0,13.0,121,1,35.0,Loop,,5.0,1,Warren Prairie Natural Area,Arkansas,United States,33.5821,-91.97438,https://www.alltrails.com/trail/us/arkansas/warren-prairie-natural-area-loop,,2025-06-18
