Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
7769424e54d4,10041671,Mianus Maze Trail,AllTrails,5.0,318.0,232,3,105.0,Loop,,4.6,2342,Mianus River State Park,Connecticut,United States,41.08082,-73.5802,https://www.alltrails.com/trail/us/connecticut/mianus-maze-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzQyNzUxMTEvNWUyYTc2MjQwNDgwZTUwMmY1M2U5MDFhNzZjY2EwMWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
347bcfa2e539,10287384,Pine Hill Road and Meander Trail Loop,AllTrails,2.6,147.0,187,1,54.0,Loop,,4.6,1316,Mianus River Park,Connecticut,United States,41.08091,-73.58033,https://www.alltrails.com/trail/us/connecticut/pine-hill-road-and-meander-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM5OTYyMzEvNGQ2ZDQ5MWEyMDIwNDc4ZGJkOGY1MmQwNDdjNWRhOWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e97b3a394e8b,10303764,Ridge Run Trail to River Road  Loop,AllTrails,2.5,206.0,216,3,55.0,Loop,,4.6,551,Mianus River Park,Connecticut,United States,41.08084,-73.58083,https://www.alltrails.com/trail/us/connecticut/ridge-run-trail-to-river-road-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzQyNzUxMTMvYjM2MzlhMjRkODc1ODFkZWIzNTA5NTRiZWE1ODk5ZTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
347d6f10811e,10019298,Babcock Preserve Loop,AllTrails,4.1,246.0,433,1,85.0,Loop,,4.3,845,Babcock Preserve,Connecticut,United States,41.10297,-73.63164,https://www.alltrails.com/trail/us/new-york/babcock-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzM4ODcxNTkvNjI0OTM2ZWRjYmExZGY5ZmQ4YTA3ZjgxZGRjODAwNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
07a2e90b95c9,10376307,Montgomery Pinetum Loops,AllTrails,1.7,154.0,114,3,39.0,Loop,,4.4,588,Montgomery Pinetum Park,Connecticut,United States,41.05328,-73.59608,https://www.alltrails.com/trail/us/connecticut/montgomery-pinetum,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI0MjIzMDgvZDdmZGQ2MDZiMTFhMDVkYTk0NjFhZjQyYzdlMGIxZTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d9c14b58f9f5,10278501,Tod's Point,AllTrails,2.5,26.0,16,1,44.0,Loop,,4.7,487,Greenwich Point Park,Connecticut,United States,41.00802,-73.57115,https://www.alltrails.com/trail/us/connecticut/tods-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTQ5NjA1ODAvZjMyZWYyNWZiOWExOTk2YzcwZWIxZjIwNmEyNTVmZGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
936fc96cb24a,10033477,Sherwood Island Trail,AllTrails,2.8,35.0,29,1,50.0,Out & Back,,4.5,640,Sherwood Island State Park,Connecticut,United States,41.11355,-73.33524,https://www.alltrails.com/trail/us/connecticut/sherwood-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI2MzQ2MTgvNjhkNWNhYTExNzNmODhhMzJiNmVhMjA5MjBlMzJjNDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
134ae7d6b48f,10301884,Riverwalk Trail to Indian Mill Trail Loop,AllTrails,1.6,157.0,206,3,37.0,Loop,,4.6,288,Mianus River State Park,Connecticut,United States,41.08083,-73.58071,https://www.alltrails.com/trail/us/connecticut/riverwalk-trail-to-indian-mill-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg5MjE2MjEvODg5YzU4YzYwNDZiMzQxZmYzNzRmOGFjMmRlODU5MzAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
22e264e8b1fd,10758250,"W River, River Rd, Middle, Laurel, Indian Rock, and Riverwalk Trails",AllTrails,2.2,147.0,196,1,47.0,Loop,,4.6,527,Mianus River State Park,Connecticut,United States,41.08083,-73.58082,https://www.alltrails.com/trail/us/connecticut/w-river-river-rd-middle-laurel-indian-rock-and-riverwalk-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE4OTY2MDkvZDBmNDY3N2E1MGY3ZjY2MzYzMzhkODVlNjI1OTFjNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
07d9b318209f,11046271,"Main, Oak, Deer, Treehouse, Poplar, Fishermans, and NE Passage Trail",AllTrails,3.8,222.0,223,1,78.0,Loop,,4.6,372,Mianus River State Park,Connecticut,United States,41.08091,-73.59499,https://www.alltrails.com/trail/us/connecticut/main-road-oak-deer-treehouse-poplar-fishermans-and-northeast-passage-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ2MTc2NTUvNzk5Yzg1ZmY3NzlmNDljODQ5MDBjNGI5MWNiYWIxOWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
