Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
09139d10852f,10252049,Papakolea Green Sand Beach,AllTrails,5.5,347.0,88.0,3,115.0,Out & Back,,4.5,4616,,Hawaii,Hawaii,18.92157,-155.67302,https://www.alltrails.com/trail/hawaii/hawaii/papakolea-green-sand-beach,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTk4MzA4OTkvMzgzMjdlYWY1MzI1NjQyZjAxYmZiMDYyNjIwOGZmNTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a68f572c5c5c,10314484,South Point,AllTrails,0.5,21.0,42.0,1,10.0,Out & Back,,4.5,335,,Hawaii,Hawaii,18.91462,-155.68257,https://www.alltrails.com/trail/hawaii/hawaii/south-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQ3OTgyNTgvYTQxMDBlMWU4MTVlNWU4M2Q3NmIxZDVjOWE0MmI1NTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
32ffdad2db84,10353301,Pu’u o Lokuana Loop,AllTrails,1.5,187.0,2280.0,1,37.0,Loop,,4.6,179,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.0652,-155.67852,https://www.alltrails.com/trail/hawaii/hawaii/pu-u-o-lokuana-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzU0NjgxNDgvOWVkNGJhY2RmYWFjZTQ5NjFlYjNkYWVhMDQyNGNkNDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
763c327d0d48,10589909,Pit Crater,AllTrails,4.8,1150.0,4091.0,3,155.0,Out & Back,,4.6,111,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.10187,-155.69088,https://www.alltrails.com/trail/hawaii/hawaii/pit-crater,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ4NDkyNTUvZWFmYzhiZTNhZDMxMWQzOTIyZDJlNGUyZWY5MGZiNTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ac484277a898,10033338,Manuka Nature Trail,AllTrails,2.2,413.0,2185.0,3,63.0,Loop,,3.8,98,Manukā State Wayside,Hawaii,Hawaii,19.10969,-155.82548,https://www.alltrails.com/trail/hawaii/hawaii/manuka-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQyOTU5NTkvZTU5NThmNDQyZjA4YWQ1Njk4NzliMmZiMTU5NDdmOTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
caf4ea36b65c,10332755,Palm Trail,AllTrails,2.7,479.0,2811.0,1,76.0,Loop,,4.5,93,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.08609,-155.68402,https://www.alltrails.com/trail/hawaii/hawaii/palm-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI0MTQ5MzEvNzc4ZDBkYTM1NmY0ODAwZDhjMDhmZjNlZTQyYmMzMGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
65176eee36e5,10769030,Kamakapa'a Trail,AllTrails,0.6,59.0,2339.0,1,14.0,Loop,,4.6,36,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.07152,-155.67922,https://www.alltrails.com/trail/hawaii/hawaii/kamakapa-a-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDcxNjkyMjYvZjg1ODg4NzkyMjYyODZjZDUwYjk4MTkxYTg5NGMxMDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f0e68068cd25,10589600,Kāheawai Trail,AllTrails,13.6,2493.0,1968.0,7,390.0,Out & Back,,3.7,18,Manuka Natural Area Reserve,Hawaii,Hawaii,19.09789,-155.80669,https://www.alltrails.com/trail/hawaii/hawaii/kaheawai-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzI0ODkwMDIvMWZlYzQxZjhkZDYwYjcwOWZjNDk2ZmU5MDJiYzI2ZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
0675fce5a987,10012920,Pu'uloa Petroglyphs Trail,AllTrails,1.2,75.0,114.0,1,26.0,Out & Back,,4.5,1129,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.28891,-155.12996,https://www.alltrails.com/trail/hawaii/hawaii/puu-loa-petroglyphs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQwOTMzOTUvNmVmYzYwZmI2Zjc5OWU1ZjRmM2MyYjcyNjBlYjQzMWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
dc303a9bb346,10027795,Apua Point via Puna Kau Trail,AllTrails,10.6,455.0,82.0,3,209.0,Out & Back,,4.5,157,Hawai'i Volcanoes National Park,Hawaii,Hawaii,19.28889,-155.13008,https://www.alltrails.com/trail/hawaii/hawaii/apua-point-via-puna-kau-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU3OTMzNzAvZGU4MjE5N2Y0MzVhOTBmMjVlNGI4NmM4NGU2OGY2MjUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
