Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
9f85cc238193,11005150,Horseshoe Lake Island Trail,AllTrails,6.0,42.0,331,1,104.0,Loop,,3.2,20,Horseshoe Lake,Illinois,United States,37.1546,-89.35816,https://www.alltrails.com/trail/us/illinois/horseshoe-lake-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjU3NTI0MTkvYTU0M2JkMGJiZmQ4Mzc4ZTcwYjc0ZDlhYTdhM2QxZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d4ac1ce82ea1,11119162,Hickory Nut Ridge Trail,AllTrails,1.9,68.0,377,1,37.0,Loop,,2.3,12,Fort Massac State Park,Illinois,United States,37.1446,-88.69622,https://www.alltrails.com/trail/us/illinois/hickory-nut-ridge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjk2NDM0MTIvZmIzN2Q4MTI5ODA2MzljOTdiZmEzMTAxMzM2NmNmOWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e8075c080ce6,10860603,Heron Pond Trail,AllTrails,2.3,87.0,387,1,45.0,Out & Back,,4.6,358,Heron Pond Preserve,Illinois,United States,37.3573,-88.91321,https://www.alltrails.com/trail/us/illinois/heron-pond-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDIyNTI3OTIvZGNmNGQzMjEzMzY0YWQ4MTQ5MjgzNmQ3OTJhMjM2NDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e4808b660ac6,10019651,Cache River and Heron Pond State Natural Areas,AllTrails,7.4,341.0,396,1,147.0,Loop,,4.4,143,Heron Pond Preserve,Illinois,United States,37.3571,-88.91326,https://www.alltrails.com/trail/us/illinois/cache-river-and-heron-pond-state-natural-areas,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk4NzMzMjUvNzhiY2FkNTc1ZTAzZjNjYjM3OWU5ODcxNzU4MzZkYmEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
36621091f8a2,10738014,Tupelo Trail,AllTrails,2.8,213.0,462,1,61.0,Out & Back,,4.3,75,Heron Pond Preserve,Illinois,United States,37.34494,-88.93782,https://www.alltrails.com/trail/us/illinois/tupelo-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODc2MTE0NjcvNGFiZTY3YzZkOTAxZGVlMGY2ZDg5YjE0MmU0NTRjZGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e32490569dda,10756961,Tunnel Hill State Trail to Belknap,AllTrails,10.9,71.0,344,1,189.0,Out & Back,,4.7,43,,Illinois,United States,37.31141,-89.01807,https://www.alltrails.com/trail/us/illinois/tunnel-hill-state-trail-to-belknap,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODg1MjI3MTkvOTkyMjM5MjBlM2FmZjc1NTc1Mzk0ZDZjMjcyODkwYjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4f3299521445,10928321,Cache River Swamp,AllTrails,2.6,16.0,337,1,45.0,Out & Back,,4.0,36,,Illinois,United States,37.29758,-89.05304,https://www.alltrails.com/trail/us/illinois/cache-river-swamp,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA4Mzg4NzEvNDgyZDhkYjMyMmE2NGMxNzljMDM0MTRkYTNhMWIxNjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
830b42ff10a5,11339717,Flatwoods Trail,AllTrails,0.8,3.0,341,1,14.0,Loop,,4.4,7,Mermet Lake State Fish and Wildlife Area,Illinois,United States,37.27368,-88.85293,https://www.alltrails.com/trail/us/illinois/flatwoods-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODc2MjMxMDkvMTk3ODZhNzQ5ZGQ5ZTE1Zjc2YzczOWQxNDQ3ZmRjMjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a351c451e0f6,10034853,Atwood Ridge and Hamburg Hill,AllTrails,19.8,2677.0,826,5,507.0,Out & Back,,3.7,5,Shawnee National Forest,Illinois,United States,37.32808,-89.33454,https://www.alltrails.com/trail/us/illinois/atwood-ridge-and-hamburg-hill,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjAzMjY3OTAvNTE4ZGRkM2M1YTJkMGFhOGE5ZTRjZTA3N2E3OWJhN2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
34148e856250,10928319,Horse Creek Trail,AllTrails,4.2,492.0,738,3,103.0,Out & Back,,2.9,28,Shawnee National Forest,Illinois,United States,37.30646,-89.3769,https://www.alltrails.com/trail/us/illinois/horse-creek-trail--5,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM2MjA5MDgvNjhjMzcwZTBkZjU3OGUwMDQ1MWZjZWQ4YzZmMDdlNGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
