Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
90e20c1432d7,10241126,"Martin, Levee, Outer and River Loop",AllTrails,4.0,75.0,396,1,73.0,Loop,,4.3,313,Angel Mounds State Memorial,Indiana,United States,37.9454,-87.45234,https://www.alltrails.com/trail/us/indiana/martin-levee-outer-and-river-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjg5NTYxOTUvZTE2NGYxOThlMmQ0MDAwYTBmN2YwZTI4Mjg4MjM1YWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
47314bdf4b4c,10581379,Outer and River Loop,AllTrails,2.8,44.0,390,1,50.0,Loop,,4.1,187,Angel Mounds State Memorial,Indiana,United States,37.94708,-87.47037,https://www.alltrails.com/trail/us/indiana/outer-and-river-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM1NjU4ODkvODhjZDdiOGEyYjNiMGFhNDUwNGI5NGE1ZGM3YjRhM2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1123e6ab6f26,10588333,USI-Burdette Trail,AllTrails,3.9,255.0,495,1,83.0,Out & Back,,4.6,857,,Indiana,United States,37.95018,-87.67198,https://www.alltrails.com/trail/us/indiana/usi-burdette-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjYxMDMyMDEvMWIxYTM4MjllODA3MTE3MzMxN2MxNTg4YmFjMTg5MjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
747e78c40574,10038980,German Ridge Trail,AllTrails,18.4,2496.0,774,5,472.0,Loop,,4.3,113,German Ridge Recreation Area,Indiana,United States,37.9555,-86.58731,https://www.alltrails.com/trail/us/indiana/german-ridge-recreation-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDY1MzYwNzkvODE4ZGVkYWUxZmQwZWQ2OTU3YmI4ZTg5ZmIzMWFmMzYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
87759755ffe7,10581380,Martin Trail,AllTrails,1.9,49.0,400,1,35.0,Loop,,4.1,101,Angel Mounds State Memorial,Indiana,United States,37.9454,-87.4524,https://www.alltrails.com/trail/us/indiana/martin-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjEwNzY3NDUvYmVjZWE1YTI4OTNiODMwOTgyZThkZWEzMmM4Mjc4OWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
28d02c74f630,11371885,University of Southern Indiana Burdette Trail,AllTrails,6.0,328.0,495,3,123.0,Out & Back,,4.6,283,Burdette Park,Indiana,United States,37.94425,-87.6492,https://www.alltrails.com/trail/us/indiana/university-of-southern-indiana-burdette-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTE1MjU5NTcvMWJhMjVlMWU2ZTdjMDMxYTI4M2ZlNjgzZmI2MWQ3ZDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4660f6ee8b16,10588772,USI Trail Loop,AllTrails,3.8,318.0,495,3,85.0,Loop,,4.0,130,,Indiana,United States,37.9496,-87.67375,https://www.alltrails.com/trail/us/indiana/usi-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg2ODE4ODgvNzU0ZWVmZTczNmJkODIyYTllYzZjYTllOTVjYjBmOTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1e4b03700aec,10264779,German Ridge Lake Trail,AllTrails,10.3,1312.0,774,3,259.0,Loop,,4.3,52,German Ridge Recreation Area,Indiana,United States,37.95577,-86.58703,https://www.alltrails.com/trail/us/indiana/german-ridge-lake-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI5NDAxNzkvNDM2YjQxMTRlNjk2YzU2Mzk1MGM2MzFkYWQ4OGYwMDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f1aa8ec626b6,10581375,Ohio River Loop,AllTrails,1.5,29.0,374,1,28.0,Loop,,3.9,52,Angel Mounds State Memorial,Indiana,United States,37.93211,-87.46845,https://www.alltrails.com/trail/us/indiana/ohio-river-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjg5NzQzMDYvNGMzMTIyZGMzMDQ3ZjhjZjIwNTc2MmJiN2IwODQ4MTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
670ad6bd527e,10380044,"USI Pedestrian, Bike, & Nature Trails: Persimmon Grove Trails",AllTrails,2.3,239.0,492,1,54.0,Loop,,4.3,83,,Indiana,United States,37.95899,-87.67279,https://www.alltrails.com/trail/us/indiana/usi-pedestrian-bike-nature-trails-persimmon-grove-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjQ0MzcyOTAvMGY0NjJjZmJhMTJiMDU1MjMwZTE0YzI3MDI1NzdhMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
