Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
223d25353461,11309173,Chatfield Park Trail,AllTrails,1.5,127.0,682,3,34.0,Loop,,5.0,4,Chatfield Park,Iowa,United States,40.43814,-91.45744,https://www.alltrails.com/trail/us/iowa/chatfield-park-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTQwNzc1NTIvZTc3YjAzZWQ1NDdhODhmMjRmNGI1MTMzZDQ2NjRmZTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
84f60f5baff6,11115235,Tallgrass Prairie Trail,AllTrails,0.6,19.0,541,1,11.0,Loop,,4.4,2,Lee County Conservation Center,Iowa,United States,40.57287,-91.42579,https://www.alltrails.com/trail/us/iowa/tall-grass-prairie-trail,,2025-06-18
6c3cc5f36bca,11115236,Wetland Trail,AllTrails,1.0,13.0,534,1,18.0,Out & Back,,1.0,1,Lee County Conservation Center,Iowa,United States,40.57255,-91.42588,https://www.alltrails.com/trail/us/iowa/lee-county-conservation-center-river-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTAxNDYwNjEvZjNmNTQ1Njc5YWMyYTkzZTRjMGM2ZWFkY2RmZmMzNDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d34222c1048f,10017237,Mincer Trail and Sunset Ridge Trail Loop,AllTrails,2.0,308.0,1256,1,54.0,Loop,,4.5,345,Waubonsie State Park,Iowa,United States,40.66719,-95.69512,https://www.alltrails.com/trail/us/iowa/mincer-trail-and-sunset-ridge-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyNjkwOTkvYjI1NTFlYWEyNjdkOWFmZDJkNTAxMjZiMzZkYzYwNWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d9b0ae2debd7,10025148,Lacey Keosauqua Lake Trail,AllTrails,2.1,150.0,688,1,45.0,Loop,,4.5,143,Lacey Keosauqua State Park,Iowa,United States,40.71157,-91.97066,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTkzOTA5NjkvNGE5NGY1YjNiZDBmNDdjN2EzMzRlYzhjMjUwZThlYTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5a7c1ae4d9e5,10913268,Lacey-Keosauqua River Trail,AllTrails,4.6,396.0,652,1,104.0,Out & Back,,4.4,95,Lacey Keosauqua State Park,Iowa,United States,40.72043,-91.99225,https://www.alltrails.com/trail/us/iowa/lacey-keosauqua-river-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODk2OTMzODYvZmM1YjVkNGQ3NjBhOWYwZGMxZGNjY2NhZjFmZDZlODMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4f40b106319e,10005627,Shimek Forest Trail,AllTrails,4.1,363.0,715,3,93.0,Loop,,3.9,56,Shimek State Forest,Iowa,United States,40.64117,-91.71241,https://www.alltrails.com/trail/us/iowa/shimek-forest-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA1MzIwMDUvZTBmYmZmMGM0ZTc0OWZhNmE2ZmE2NTQ3MGM4ZTM1YzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
807a026c8ec1,10335682,Campground Trail and Lake Trail Loop,AllTrails,3.0,193.0,1017,1,63.0,Loop,,4.0,50,Nine Eagles State Park,Iowa,United States,40.59866,-93.76788,https://www.alltrails.com/trail/us/iowa/campground-trail-and-lake-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTUwMjQyMzAvZmZjYjg0ODdjY2NjMGI0MDA0MjAzNWZmNzEzZWRmODYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
be617d7fb0a1,10024567,Lake of Three Fires Loop,AllTrails,2.9,124.0,1210,3,57.0,Loop,,4.6,72,Lake of Three Fires State Park,Iowa,United States,40.70864,-94.68986,https://www.alltrails.com/trail/us/iowa/lake-of-three-fires-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTAzMzg0MDQvMjJlYmU3ODJkNzliMDYyMzIwOTcyOTc0NmNmNmMyNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
db914593b382,10341945,"Spur, Lake, and North Trails Loop",AllTrails,6.0,435.0,1095,3,130.0,Loop,,4.5,39,Nine Eagles State Park,Iowa,United States,40.60472,-93.75493,https://www.alltrails.com/trail/us/iowa/spur-lake-and-north-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzc1NTQ2NDUvYWI3ZmRmMzQzYjQ3MzE0YzVmMGU4NDExMjM0MzMyMWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
