Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
b34f9761b08c,10366924,Tri-State Peak via Wilderness Trail,AllTrails,2.2,560.0,1965,3,73.0,Out & Back,,4.6,583,Cumberland Gap National Historical Park,Kentucky,United States,36.60906,-83.67785,https://www.alltrails.com/trail/us/kentucky/tri-state-peak-via-wilderness-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc3NTAyODgvMzMyMjk4NmIyZTA2NzNkYTE0MDg2NTIxMGQ4ODQ3Y2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
14202a8c02e5,10000935,Blue Heron Loop Trail,AllTrails,6.4,842.0,1305,3,162.0,Loop,,4.6,470,Big South Fork National River and Recreation Area,Kentucky,United States,36.67033,-84.54768,https://www.alltrails.com/trail/us/kentucky/blue-heron-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzgyNTQ4MDAvNGRjMmY2MjY5MWFhZjliNDZkM2Y0NjkyN2UzOTNiZmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f1b4fb722b88,10330194,Split Bow Arch Loop,AllTrails,0.6,196.0,1240,3,23.0,Loop,,4.7,230,,Kentucky,United States,36.62762,-84.52611,https://www.alltrails.com/trail/us/kentucky/split-bow-arch-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg2NzUxMjgvODIzNzY3ZDAyY2UxZjUzMmFiOTczNmZkMDQ5ZmZlYjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
76df681e7798,10003579,Ridge Trail to Sugar Run Trail,AllTrails,3.5,858.0,2608,3,113.0,Out & Back,,4.5,251,Cumberland Gap National Historical Park,Kentucky,United States,36.60647,-83.6667,https://www.alltrails.com/trail/us/virginia/ridge-trail-to-sugar-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTk4Mjc3MTUvZWYwMGM5MGE4MjA1NzViYTIxOWY3NzAzMmU1NGVhZmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
684483c73cd1,10270759,Eagle Point,AllTrails,1.5,206.0,987,1,38.0,Out & Back,,4.6,207,Dale Hollow Lake State Resort Park,Kentucky,United States,36.64617,-85.29063,https://www.alltrails.com/trail/us/kentucky/eagle-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc4NTc4ODIvYzQ3ZWI1ODIzOTUyNzEwZWM5MWU2ODhlY2EwZWI5ZTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
175fbd8ba780,10275152,Cumberland Gap Fitness Loop,AllTrails,1.8,206.0,1325,1,44.0,Loop,,4.7,261,Cumberland Gap National Historical Park,Kentucky,United States,36.60286,-83.69576,https://www.alltrails.com/trail/us/kentucky/cumberland-gap-fitness-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODAxMDU3MjYvNzM5ODRkZDg0MWUyZmI0NzdiYzNkZjdkMTBmMTViMWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b2b10a2d18a8,10584120,Cumberland Gap Wilderness Trail,AllTrails,3.5,556.0,1640,3,95.0,Loop,,4.5,168,Cumberland Gap National Historical Park,Kentucky,United States,36.60906,-83.67789,https://www.alltrails.com/trail/us/tennessee/cumberland-gap-wilderness-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ3MjA3NDYvZTVmZmE5ZTZkZmFiY2JjZmY2YTUyMmNmMzE1NzU0OTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
12d72778d601,10406410,Fort McCook Trail,AllTrails,1.5,553.0,2398,3,61.0,Out & Back,,4.6,159,Cumberland Gap National Historical Park,Kentucky,United States,36.60863,-83.67451,https://www.alltrails.com/trail/us/kentucky/fort-mccook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzIzMzIxNTEvMDRlNmVhNzQ2MzdhYjRmYzM2MWM0NThmNzkzNTc5YzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
53cc280dfcaf,10026398,Pinnacle Overlook Trail,AllTrails,8.6,1984.0,2608,3,273.0,Out & Back,,4.5,144,Cumberland Gap National Historical Park,Kentucky,United States,36.63406,-83.67387,https://www.alltrails.com/trail/us/kentucky/pinnacle-overlook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzg4MzEzMDUvNGY1YzE0YTM5ZGE5NTM0ZTBhYTE4NTgzYzA5ZDNiMzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ad183a99adf9,10396024,Thomas Walker Trail,AllTrails,2.5,301.0,1407,1,62.0,Out & Back,,4.5,124,Cumberland Gap National Historical Park,Kentucky,United States,36.60909,-83.67805,https://www.alltrails.com/trail/us/kentucky/thomas-walker-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTAxNDY5NDcwL2U4ZWM0NWI4YjY4ZDY5NmRjYzY0MDg4ZGQ5MWE4NzYxLmpwZyIsImVkaXRzIjp7InRvRm9ybWF0Ijoid2VicCIsInJlc2l6ZSI6eyJ3aWR0aCI6MTA4MCwiaGVpZ2h0Ijo3MDAsImZpdCI6ImNvdmVyIn0sInJvdGF0ZSI6bnVsbCwianBlZyI6eyJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWUsIm9wdGltaXNlU2NhbnMiOnRydWUsInF1YW50aXNhdGlvblRhYmxlIjozfX19,2025-06-18
