Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
c57923ee25cb,11334204,Cypress Park Nature Trail,AllTrails,2.3,29.0,6,1,41.0,Out & Back,,4.5,9,Cypress Park,Maryland,United States,38.07654,-75.57009,https://www.alltrails.com/trail/us/maryland/cypress-park-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjE0MzY5NzkvNDQyMThkOGExNWZjYTFmNjViMzUxNmRmMGZhMGNlMjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1a911ed52c0f,11275433,East Impoundment Loop,AllTrails,4.1,13.0,3,1,70.0,Loop,,3.4,6,Fairmount Wildlife Management Area,Maryland,United States,38.08949,-75.80678,https://www.alltrails.com/trail/us/maryland/east-impoundment-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjUxMjA5OTYvM2M3MjY3OTc3YjE3ODI3ZWRhODAwMzU0NDk3YmM3NjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
acef1cb9ce44,10909945,Periwinkle Point Trail,AllTrails,1.2,3.0,3,1,21.0,Loop,,3.0,26,Point Lookout State Park,Maryland,United States,38.06337,-76.33721,https://www.alltrails.com/trail/us/maryland/periwinkle-point-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY2ODI4OTAvNmY0NjVhM2VhZjQwNWQ1NjMxNGY1ZTk3Yzg5ZDJlMGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
dd600e7db082,10020897,Saint Mary's Lake: White Path,AllTrails,7.3,331.0,108,1,145.0,Loop,,4.5,823,St. Mary's River State Park,Maryland,United States,38.2517,-76.54182,https://www.alltrails.com/trail/us/maryland/saint-marys-lake-white-path,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQyNTU0NzAvOGM2ZDA5Yzg0MGViOWU0MTkyNDUyNWI4ZmUyNGFhNTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1f6763cfca7e,10770484,Life of the Dunes Trail,AllTrails,0.8,6.0,6,1,14.0,Loop,,4.4,499,Assateague Island National Seashore,Maryland,United States,38.19035,-75.1593,https://www.alltrails.com/trail/us/maryland/life-of-the-dunes-trail--5,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODYxMTUwNjEvNzY3MGU3OGM2OGI5YWM3ODIxNjc2ZWYzYzQ2ZjAxYzMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
87201511f8a9,10292031,Life of the Forest Trail,AllTrails,0.5,3.0,3,1,9.0,Out & Back,,4.6,386,Assateague Island National Seashore,Maryland,United States,38.19783,-75.15779,https://www.alltrails.com/trail/us/maryland/life-of-the-forest-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk2MDI5OTkvYjdjZjhiOWEzNjY4YTAwMmI5YjVmMWFhOGNiMmE3NTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f9d29dc8a27f,10384513,Historic St. Mary's City Nature Trail,AllTrails,3.6,75.0,42,1,66.0,Loop,,4.5,402,Historic St. Mary's City,Maryland,United States,38.18054,-76.4306,https://www.alltrails.com/trail/us/maryland/historic-st-marys-city-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk5OTQ4OTgvOTE1M2FhMjhjNzkwYWQ4ZTY0OTk3NzUyMjkwYWFmNzAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
cbfbf7bd98d1,10647410,Salem State Forest Loop to Saint Mary's Lake,AllTrails,4.4,113.0,131,1,82.0,Loop,,4.4,285,Salem State Forest,Maryland,United States,38.28152,-76.55301,https://www.alltrails.com/trail/us/maryland/salem-state-forest-loop-to-saint-mary-s-lake,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzcwNjc1ODAvOTI0OTMyNzYzOTEzNWFmZDI4NzQ2ZjgxNGU4NjgxODIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a0b520a820e3,10570752,Rackliffe House Trail Loop,AllTrails,1.1,6.0,9,1,19.0,Loop,,4.4,169,Assateague State Park,Maryland,United States,38.24737,-75.15492,https://www.alltrails.com/trail/us/maryland/rackliffe-house-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzM3OTEzNjcvZjkwNzcyYzk2ZWQ2MzlhYjk4NDYxMWZjYWQzZjAyNGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f9aad62812a1,10017720,Ruta de la isla Assateague,AllTrails,9.4,71.0,9,3,164.0,Out & Back,,4.4,182,Assateague Island National Seashore,Maryland,United States,38.1909,-75.15922,https://www.alltrails.com/trail/us/maryland/assateague-island-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODgyMjEzNjcvYTEzZTQyMTc3YWM1YjE4NWIyMGEzNjY0OTJkNDUyYzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
