Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
420c2f993b49,10297457,Canopy Walkway,AllTrails,1.2,78.0,646,1,25.0,Loop,,4.5,358,Galien River County Park,Michigan,United States,41.80556,-86.71876,https://www.alltrails.com/trail/us/michigan/canopy-walkway,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI4NDkyOTMvZDg0YTMwNzNhYWU5MWJiOThiZDFhYWQ5YzgwZTg0MjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c776f41b7260,10351233,Warren Wood Timber Trail,AllTrails,1.6,71.0,629,1,32.0,Out & Back,,4.4,403,Warren Woods State Park,Michigan,United States,41.8319,-86.62487,https://www.alltrails.com/trail/us/michigan/warren-wood-timber-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjA2MzAzNTcvMzY3ZTY5YzE0ZWZjYTE3YThhZGU0ODA0NTFkNDIyMDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
9b22f54db2de,10325594,North Country Trail: Lost Nation State Game Area,AllTrails,8.9,894.0,1138,3,208.0,Out & Back,,4.7,398,Lost Nation State Game Area,Michigan,United States,41.82713,-84.47367,https://www.alltrails.com/trail/us/michigan/north-country-trail-pittsford,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjg3NzQwOTIvNGZlNzYwYzYwYzExZmJjYzVkNDlhNmRiOThiNTkzMTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
fd46281bdc7a,10783037,Chikaming MTB Loop,AllTrails,6.6,246.0,672,3,128.0,Loop,,4.5,248,Chikaming Township Park and Preserve,Michigan,United States,41.83915,-86.65026,https://www.alltrails.com/trail/us/michigan/chikaming-mtb-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgzOTg2MDkvMmQ3NTk5Y2NmOTFiZDIxMjM0YjM1YjRhNzUyZDFlMDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
024ed48c9b21,10588907,Doty Cave via North Country Trail,AllTrails,2.8,451.0,1141,1,76.0,Out & Back,,4.7,184,Lost Nation State Game Area,Michigan,United States,41.82718,-84.47365,https://www.alltrails.com/trail/us/michigan/doty-cave-via-north-country-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc2MzQ1NDMvOTMyNTJhZjQ5OTYwZTRkMzg0MWNhOTIxNzg4NzRkOTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5a2f5a3b37fd,10698392,Indiana-Michigan River Valley Trail,AllTrails,10.7,209.0,741,1,194.0,Point-to-Point,,4.5,215,,Michigan,United States,41.8375,-86.25267,https://www.alltrails.com/trail/us/michigan/indiana-michigan-river-valley-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzA4NDUyOTcvZTIxYjQwZTlkNWE1ZGI2NDM5OWViMDVkM2M3YWFhNzIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c67c2b3472af,10916090,Plumb Lake Trail,AllTrails,3.1,154.0,931,1,62.0,Loop,,4.5,177,Plumb Lake County Park,Michigan,United States,41.8134,-85.38241,https://www.alltrails.com/trail/us/michigan/plumb-lake-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODI5NDA2NzcvYTM5ODMxYjViOTg1MTBjNTQ0MGQyZWE5YmQ1ODU0NDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a9e892f86cb2,10783044,Chikaming Loop 1,AllTrails,1.5,52.0,672,1,29.0,Loop,,4.3,115,Chikaming Township Park and Preserve,Michigan,United States,41.83916,-86.65038,https://www.alltrails.com/trail/us/michigan/chikaming-loop-1,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDY5NzY1MDgvM2VlN2Y5Y2ExNzRlMmI0ODBkYzZmNzE0NTU2ODU2NjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
6bbe4f13274a,11083962,Erie Marsh Preserve Main Trail,AllTrails,5.0,35.0,583,3,87.0,Loop,,4.1,81,Erie Marsh Preserve,Michigan,United States,41.76416,-83.47201,https://www.alltrails.com/trail/us/michigan/erie-marsh-preserve-main-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA4MDY2NjUvMDkxN2FlNTVhZDMzNzVmZmNkODllYWM1ZDU0NGUxNDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
fa0ee4c0046a,10783048,Robinson Woods Preserve Loop,AllTrails,1.5,49.0,662,1,28.0,Loop,,4.6,125,Robinson Woods Preserve,Michigan,United States,41.84976,-86.64721,https://www.alltrails.com/trail/us/michigan/robinson-woods-preserve-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY3NTA4NjcvODE2NmZiZWE1YjNlYTIzM2FkZjNjNjk3Njc1NTI5ZjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
