Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
3a7dc940af59,10894012,"Beaver Creek Valley, Hole in Rock, and West Rim",AllTrails,6.1,764.0,1089,3,152.0,Loop,,4.6,310,Beaver Creek Valley State Park,Minnesota,United States,43.64319,-91.58073,https://www.alltrails.com/trail/us/minnesota/beaver-creek-valley-hole-in-rock-and-west-rim,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyNjc3NjIvOGJhMGY4ZTUyOWUwM2VkYWVlYWU0MmM4NGM1ZGQzMzkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
7822a5e839c5,10243494,Big Island Loop,AllTrails,1.4,21.0,1233,1,25.0,Loop,,4.3,273,Myre-Big Island State Park,Minnesota,United States,43.62677,-93.28941,https://www.alltrails.com/trail/us/minnesota/big-island-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjgwNTk1OTEvNTFhZDIyZDM5YjFiNzVhZjg2NmI2NTkyNmViMjVjZDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
9f86e0120ea2,10688916,"Mound, Upper Cliff Line, and Campground Loop Trail",AllTrails,6.8,383.0,1702,1,140.0,Loop,,4.4,175,Blue Mounds State Park,Minnesota,United States,43.69109,-96.1973,https://www.alltrails.com/trail/us/minnesota/mound-upper-cliff-line-and-campground-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk2NzY5ODcvMWZhMzI5YTFmNDFiYTYxZDBiMzNjOGI1ZjEwMjNlNDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8eb511e89be6,10418364,Myre Big Island State Park Loop,AllTrails,7.2,262.0,1286,1,139.0,Loop,,4.4,234,Myre-Big Island State Park,Minnesota,United States,43.62668,-93.28999,https://www.alltrails.com/trail/us/minnesota/myre-big-island-state-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA5NzEyMzgvMjc5ZGU5ZTg3NmY3NjFmMzAwMjE3ZmFjNWRjYjc3N2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f017f75afb75,10897571,Maple Ridge Trail Loop,AllTrails,2.2,203.0,1233,1,50.0,Loop,,4.2,182,Forestville/Mystery Cave State Park,Minnesota,United States,43.6287,-92.22189,https://www.alltrails.com/trail/us/minnesota/maple-ridge-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgyMzI5MDkvODY3YjRhMWQwOTM3NWIyYTg2Y2RjYzM4ZmJiZDMwMjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
98d92d87369f,10617259,Wildwood Loop,AllTrails,1.2,19.0,1289,1,22.0,Loop,,4.3,211,Lake Louise State Park,Minnesota,United States,43.52613,-92.51585,https://www.alltrails.com/trail/us/minnesota/wildwood-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTAwMTk2MzgyLzdmMmIzNjI0MDhiZWFjYWVlM2RiZmZiY2Y2ODRjNjNkLmpwZyIsImVkaXRzIjp7InRvRm9ybWF0Ijoid2VicCIsInJlc2l6ZSI6eyJ3aWR0aCI6MTA4MCwiaGVpZ2h0Ijo3MDAsImZpdCI6ImNvdmVyIn0sInJvdGF0ZSI6bnVsbCwianBlZyI6eyJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWUsIm9wdGltaXNlU2NhbnMiOnRydWUsInF1YW50aXNhdGlvblRhYmxlIjozfX19,2025-06-18
23dd529d02be,10022355,Myre Big Island State Park,AllTrails,4.8,143.0,1253,1,91.0,Loop,,4.2,156,Myre-Big Island State Park,Minnesota,United States,43.63441,-93.30061,https://www.alltrails.com/trail/us/minnesota/myre-big-island-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDgxMzEyNTgvNWIwNWJhMDNiZDZlMzY0ZmY5ZmE0ZDlkNzBlMzI1N2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1636942511e8,10023397,Beaver Creek Valley Short Loop,AllTrails,2.4,363.0,1102,3,64.0,Loop,,4.7,94,Beaver Creek Valley State Park,Minnesota,United States,43.64282,-91.58106,https://www.alltrails.com/trail/us/minnesota/beaver-creek-valley-short-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjkxNTQ2NDcvMjkyNWMxYzljM2M3ZWIyMzM1OTkxNmI0ZjVmNTk5MmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a7037030de84,10243583,Prairie View Great Marsh Loop Trail,AllTrails,2.2,104.0,1263,3,44.0,Loop,,4.5,100,Myre-Big Island State Park,Minnesota,United States,43.62568,-93.3151,https://www.alltrails.com/trail/us/minnesota/prairie-view-great-marsh-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODcxODcxNDIvZjc2YjlkYTc5MTBkMThiZmEzZDExZjEwNTc1NDk0NWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4085299fbd3d,10019621,Forestville Trail,AllTrails,7.7,797.0,1266,3,182.0,Loop,,4.7,79,Forestville/Mystery Cave State Park,Minnesota,United States,43.64089,-92.21512,https://www.alltrails.com/trail/us/minnesota/forestville-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDU1MjE2NTAvYmI2NGI3NWU2Zjg1ZWExMDI1ZmNlMTcxNzM4ZTZmOGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
