Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
4afe7f141e9f,10257553,Possum Walk Trail at Stennis Space Center,AllTrails,6.3,52.0,16,1,110.0,Out & Back,,4.0,173,Stennis Space Center,Mississippi,United States,30.31036,-89.60575,https://www.alltrails.com/trail/us/mississippi/possum-walk-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzUwODg1MDAvMTlkZjU1YWM3YjRkYTQzOWQ5ZjBkODlhMDYzMTg1ODguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
645295c4e5fa,11194070,"Whiskey, Tango, and Foxtrot Loop",AllTrails,5.0,65.0,16,1,89.0,Loop,,4.4,42,Shepard State Park,Mississippi,United States,30.37213,-88.63127,https://www.alltrails.com/trail/us/mississippi/whiskey-tango-and-foxtrot-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzAyNjA1NDUvNTgzYzBhMGJiNTBlOWI5MGMxNTRmNGU4NmNhOTQxZjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4515be813767,10554804,Enchanted Nature Trail,AllTrails,0.7,3.0,9,1,12.0,Loop,,3.7,61,,Mississippi,United States,30.30567,-89.28351,https://www.alltrails.com/trail/us/mississippi/enchanted-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI2MTI5MDMvNjQ1ZTU3ZDhkY2YzZGVlNzQ3NDVlMmZjMzA0ZGQxMTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
19c6a8ce504c,10969288,Fort Massachusetts,AllTrails,1.0,6.0,3,1,17.0,Out & Back,,4.8,10,Gulf Islands National Seashore,Mississippi,United States,30.21237,-88.97165,https://www.alltrails.com/trail/us/mississippi/fort-massachusetts,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTAwNjA1Nzc5LzI1NWUyYTI3MmFlNjMxMWJjYmNmZGQ2ZTQzNDM1YmY5LmpwZyIsImVkaXRzIjp7InRvRm9ybWF0Ijoid2VicCIsInJlc2l6ZSI6eyJ3aWR0aCI6MTA4MCwiaGVpZ2h0Ijo3MDAsImZpdCI6ImNvdmVyIn0sInJvdGF0ZSI6bnVsbCwianBlZyI6eyJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWUsIm9wdGltaXNlU2NhbnMiOnRydWUsInF1YW50aXNhdGlvblRhYmxlIjozfX19,2025-06-18
3aad19ae3235,11191770,Alpha Loop,AllTrails,0.9,8.0,16,1,16.0,Loop,,3.7,9,Shepard State Park,Mississippi,United States,30.37328,-88.62671,https://www.alltrails.com/trail/us/mississippi/alpha-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTY0OTU0NTMvNzA1YTFmNWU3MWQ5NWYyYjBkYjFhMTNlOGQzNDQ0ZGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
9430290d987f,10242676,Fontainebleau Nature Trail,AllTrails,1.5,39.0,22,1,28.0,Loop,,4.4,473,Mississippi Sandhill Crane National Wildlife Refuge,Mississippi,United States,30.39784,-88.75707,https://www.alltrails.com/trail/us/mississippi/fontainebleau-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk1NjM2NjkvYzBlMDRkYTlmNDZlOGQ3MTc3MDhkNWJiZWMxOGQ0MzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8e2fb473c682,10024947,Gulf Islands Seashore: Davis Bayou Area,AllTrails,3.3,75.0,19,1,61.0,Out & Back,,4.1,316,Gulf Islands National Seashore,Mississippi,United States,30.39792,-88.79305,https://www.alltrails.com/trail/us/mississippi/gulf-islands-seashore-davis-bayou-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDk4MTUzNDEvZDVhZDAzYjNiM2YyYTQxZDM5ODJiMmE1MTI1NDMzNDAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3e4d66214de4,10416689,Oscar Trail,AllTrails,1.8,32.0,16,3,33.0,Loop,,4.4,102,Shepard State Park,Mississippi,United States,30.37546,-88.63839,https://www.alltrails.com/trail/us/mississippi/oscar-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTYwMDA2NTEvOTcxY2Q3MjQ2MTE2ZGUzZjVlNGNhNWFjZDg5ZDE0ZGYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f9be0d47816c,10554520,Bell's Ferry Nature Trail,AllTrails,1.2,13.0,19,1,21.0,Loop,,4.0,126,Wolf River Preserve,Mississippi,United States,30.38968,-89.2248,https://www.alltrails.com/trail/us/mississippi/bells-ferry-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODQ3OTAxNzMvNWNiM2YxMDI1OWQ4MjQ5ODM3NGU3ZTEwMmNiMmE0N2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d2ee7ddfb764,10946428,CCC Overlook Trail,AllTrails,1.1,21.0,19,1,20.0,Out & Back,,3.7,67,Gulf Islands National Seashore,Mississippi,United States,30.39168,-88.7901,https://www.alltrails.com/trail/us/mississippi/ccc-overlook-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg4NTQ1MTkvYjk5MWFlMWQyMzYwMGU3ZDk3YWE2YTNiN2ZjMjNhNTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
