Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
8b5686d78e1c,10915679,Rock Creek Station SRA,AllTrails,3.0,206.0,1400,3,64.0,Loop,,4.3,30,Rock Creek Station State Recreation Area,Nebraska,United States,40.11253,-97.06628,https://www.alltrails.com/trail/us/nebraska/rock-creek-station-sra,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM2NTcyNTIvN2IzZjc0YzhiZTRjODhkNThkNWM1OTMzMjliMjg4MTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
03fa98ed9533,10949063,McDowell’s Mausoleum,AllTrails,0.7,19.0,1361,3,13.0,Out & Back,,3.9,21,,Nebraska,United States,40.08073,-97.21817,https://www.alltrails.com/trail/us/nebraska/mcdowell-s-mausoleum,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTMxODYxMzQvNjExNDNhMTQ0MWZiNzFjODcyNTQ0YjdiOGQ1YzNiOGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
43992c7d97d1,10891915,Iron Horse Trail Lake Loop,AllTrails,2.8,157.0,1141,3,58.0,Loop,,4.8,16,,Nebraska,United States,40.04624,-96.09644,https://www.alltrails.com/trail/us/nebraska/iron-horse-trail-lake-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzMwMDY1NDgvZTQzYzNkNzg0YWVkMzc2YjQyM2IzMTBhODk2YTUxZDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
71cf1bc83662,11347018,Chief Standingn Bear Trail via Barneston,AllTrails,19.1,321.0,1289,1,342.0,Point-to-Point,,4.8,12,,Nebraska,United States,40.04601,-96.57785,https://www.alltrails.com/trail/us/nebraska/chief-standingn-bear-trail-via-barneston,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODQ2NDM2OTMvZGFiZTJkZDkxZWNlYmMxYTgzYjcwYmZlM2VkZGY5OWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
dde14a3e6910,10311091,Rivers Edge Nature Trail,AllTrails,1.4,16.0,1889,3,25.0,Loop,,3.5,16,,Nebraska,United States,40.071,-99.2029,https://www.alltrails.com/trail/us/nebraska/rivers-edge-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjM4NTUyNzcvZWQ1Y2FkNTM1OGRhNzk0YTEzNzZkOWQ0MmFjNWNmM2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
0ef0e6d85b5d,10919498,Big Indian Creek Reservoir,AllTrails,2.4,136.0,1345,1,50.0,Loop,,4.0,2,,Nebraska,United States,40.06166,-96.68979,https://www.alltrails.com/trail/us/nebraska/big-indian-creek-reservoir,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY1MDI1MzkvN2ZlZTBhMTc4ZTVlNzViZTVlZWJlOWI4OThjMjJlMDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
53f2eeccf208,10972497,Rock Glen WMA Loop,AllTrails,2.9,301.0,1479,1,68.0,Loop,,3.4,2,Rock Glen Wildlife Management Areaß,Nebraska,United States,40.09565,-97.04899,https://www.alltrails.com/trail/us/nebraska/rock-glen-wma-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTUwNjI2NDkvM2NmZWM3NjVhM2FhOGNiNzNjYzFhN2U3ZmJlNWY5MGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5053a107d73e,10009339,Indian Cave Trail,AllTrails,3.1,393.0,1243,3,78.0,Loop,,4.4,324,Indian Cave State Park,Nebraska,United States,40.25123,-95.53758,https://www.alltrails.com/trail/us/nebraska/indian-cave-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzE0MjQzMTEvY2FmNTRlYTBkMTQ1ZTcwY2U2YTQ4YTdkY2EyNzZhMGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1ee52a417b56,10203448,Rock Bluff Run Trail,AllTrails,5.9,1114.0,1259,3,172.0,Loop,,4.5,214,Indian Cave State Park,Nebraska,United States,40.24656,-95.51768,https://www.alltrails.com/trail/us/nebraska/rock-bluff-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY0ODU5ODUvMDYzODEwM2U5MTEyMGJlYzlmMDZjZGExM2YwM2E3ZDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
7cd0e1f0bbe2,10320813,Indian Cave North Ridge Trail via 1st Trailhead,AllTrails,1.8,301.0,1207,1,50.0,Loop,,4.2,101,Indian Cave State Park,Nebraska,United States,40.27304,-95.57409,https://www.alltrails.com/trail/us/nebraska/indian-cave-north-ridge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjczNTgyMzUvNTJkODZkOTRmYmMwOTQ5NjExNWJjZDQ0MmZmMWM1MDIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
