Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
80ffa4d291c0,10253950,Continental Divide Trail: Mexico to Canada,AllTrails,3005.19,444980.0,14274,7,79465.0,Point-to-Point,,3.9,15,,New Mexico,United States,31.49706,-108.2085,https://www.alltrails.com/trail/us/new-mexico/continental-divide-national-scenic-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjMwOTYxNTkvNGEzNjRhMzcyYzFlNWViZDM0ZDMwODU5MGRiNWRmOGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3c3454ccda52,10264072,Blackwater Hole Trail,AllTrails,4.5,311.0,5751,1,96.0,Out & Back,,4.4,9,Bunk Robinson Wilderness Study Area,New Mexico,United States,31.51544,-108.99738,https://www.alltrails.com/trail/us/new-mexico/blackwater-hole-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODExNjI5ODYvMDY2ZDE3Nzk0NzVkZDRjNTljOGY3Y2ViNjM5YzliYjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3a763102fe28,11285951,CDT Section 1: Mexico Border to New Mexico State Highway 81,AllTrails,25.9,1601.0,5272,7,539.0,Point-to-Point,,1.0,1,,New Mexico,United States,31.49706,-108.20851,https://www.alltrails.com/trail/us/new-mexico/cdt-section-1-mexico-border-to-new-mexico-state-highway-81,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjYyNjQ1MDYvNDc3YTIzOTM2NDRiZWZjNDUwNThmNmMxM2ZjOTg2MTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1e6541c7bdf2,10112045,Sierra Del Cristo Rey,AllTrails,4.5,737.0,4596,3,123.0,Out & Back,,4.7,718,Galatzan Park,New Mexico,United States,31.79287,-106.54271,https://www.alltrails.com/trail/us/new-mexico/sierra-del-cristo-rey,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODYwMTEwNjQvNWRmZjYwMzY5OWZhZmVkODk4MGZhZDk4NDZjZjNiOTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e8aada8db01e,10355072,Lazy Cow to Mad Cow to Blue Moon Loop,AllTrails,8.9,740.0,4619,3,198.0,Loop,,4.7,303,Franklin Mountains State Park,New Mexico,United States,31.93237,-106.4488,https://www.alltrails.com/trail/us/texas/lazy-cow-to-mad-cow-to-blue-moon-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTM4Nzk3OTgvZDQ3MjgwYTMwY2JmZTAyYTMxZjZlNjIwOWMwMmRiMTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ae86cf83a868,10238999,Playas Peak,AllTrails,2.0,1134.0,5869,5,,Out & Back,,4.4,57,,New Mexico,United States,31.90387,-108.51025,https://www.alltrails.com/trail/us/new-mexico/playas-peak,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzU0MjU1MjEvOTRjMWM1MzI1MDFmOWNhYjFlMWQ4OWU4OWM2ZDZjZDUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
381557066031,10418399,Cootes Hill,AllTrails,0.5,13.0,4081,1,9.0,Loop,,4.1,20,Pancho Villa State Park,New Mexico,United States,31.82723,-107.64202,https://www.alltrails.com/trail/us/new-mexico/cootes-hill,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTc5Njk1NzYvMzM0MDI0M2ExYjQ1MDdmOWE1ZmE3MDQ5NTA5NTA1M2EuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
702b610be6bd,10902730,Cox Peak,AllTrails,4.7,1561.0,5931,5,180.0,Out & Back,,4.6,9,Organ Mountain - Desert Peaks National Monument,New Mexico,United States,31.89729,-107.06104,https://www.alltrails.com/trail/us/new-mexico/cox-peak--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTU4NjcwMzgvZTJhYTMzZGZkYmExZjQwN2M4ZWU3MTEzZjc2MzNiYmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
22e0763da5d5,10747545,Little Hatchet Loop,AllTrails,6.9,2034.0,6630,5,,Loop,,4.9,6,,New Mexico,United States,31.86235,-108.42993,https://www.alltrails.com/trail/us/new-mexico/little-hatchet-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjk2OTk5MzMvMmFkNjFkZThkNjU5ZDNjMTY4MGZhNTE4M2QxMzQwM2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4a1acf6b55be,11285972,CDT Section 2: New Mexico Highway 81 to New Mexico Highway 9,AllTrails,19.5,1512.0,5059,7,417.0,Point-to-Point,,1.0,1,,New Mexico,United States,31.73489,-108.41136,https://www.alltrails.com/trail/us/new-mexico/cdt-section-2-new-mexico-highway-81-to-new-mexico-highway-9,,2025-06-18
