Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
526267ef2c31,10676080,Hankinson Hills Trail,AllTrails,7.8,334.0,1118,1,154.0,Loop,,4.3,48,Sheyenne National Grassland,North Dakota,United States,46.11638,-96.98452,https://www.alltrails.com/trail/us/north-dakota/hankinson-hills-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODUyMDA0MDgvMTBiMDc4MDA0MGQwMzI3YTc2Yzc5YTZhY2I2ZWIyMGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1c35bba9518d,10932536,Johnsons Gulch Trail,AllTrails,0.7,104.0,1958,3,18.0,Loop,,4.3,4,,North Dakota,United States,45.99366,-98.88135,https://www.alltrails.com/trail/us/north-dakota/johnsons-gulch-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjcwMTAyMTQvZjEyOTQ3NDE1ZjQ3OWFmOWIzOWM1ZTJhY2JhNzUyZmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ead0859d3943,10990432,Tewaukon NWR Whitetail Loop,AllTrails,0.8,13.0,1171,1,14.0,Loop,,4.8,3,Tewaukon National Wildlife Refuge,North Dakota,United States,46.00127,-97.37305,https://www.alltrails.com/trail/us/north-dakota/tewaukon-nwr-whitetail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA2NTY2ODEvMTBmMmE0Yjg1NzAxOGQ0MWM5MmM2ODg4NzI0NmI3MjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
2d4682919567,10945845,Chahinkapa Zoo and Campground Loop,AllTrails,2.6,39.0,964,1,47.0,Loop,,3.2,3,Chahinkapa Park,North Dakota,United States,46.27301,-96.59984,https://www.alltrails.com/trail/us/north-dakota/chahinkapa-zoo-and-campground-loop,,2025-06-18
4daa587bb456,10259850,White Butte Trail: North Dakota Highpoint,AllTrails,1.7,337.0,3503,1,50.0,Out & Back,,4.7,578,,North Dakota,United States,46.396,-103.3005,https://www.alltrails.com/trail/us/north-dakota/white-butte-north-dakotas-highpoint-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTAxMjkwMTMyLzAwNGM5MGU2ZTk4ODk4OTk4NTc2MWMxMTQyZTgyNzM4LmpwZyIsImVkaXRzIjp7InRvRm9ybWF0Ijoid2VicCIsInJlc2l6ZSI6eyJ3aWR0aCI6MTA4MCwiaGVpZ2h0Ijo3MDAsImZpdCI6ImNvdmVyIn0sInJvdGF0ZSI6bnVsbCwianBlZyI6eyJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWUsIm9wdGltaXNlU2NhbnMiOnRydWUsInF1YW50aXNhdGlvblRhYmxlIjozfX19,2025-06-18
0f1d51807974,10485607,Mineral Springs Trail,AllTrails,4.3,488.0,1325,3,,Out & Back,,4.5,169,,North Dakota,United States,46.50274,-97.87823,https://www.alltrails.com/trail/us/north-dakota/mineral-springs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgyMjA4NTAvMzQ3YWE0YTk1MjVjN2I3YmJlNGZmYWNiZGU0NDIxZWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d5354d04ae40,10997140,"Oak Leaf, N Country Nat'l Scenic Trails Loop",AllTrails,4.0,85.0,1072,3,73.0,Loop,,4.6,133,Sheyenne National Grassland,North Dakota,United States,46.52297,-97.20165,https://www.alltrails.com/trail/us/north-dakota/oak-leaf-n-country-nat-l-scenic-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI4ODI1MTQvNDZiMmUzMDZlNmMwYjgxMGEyZDkyZjc4ZmMwOWUwZTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a15e6f10ba39,10559628,North Country Trail: Jorgons Hollow Campground to 61st St. SE,AllTrails,11.6,462.0,1082,3,226.0,Out & Back,,4.5,66,Sheyenne National Grassland,North Dakota,United States,46.52302,-97.20297,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-jorgons-hollow-campground-to-61st-st-se,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDczOTAyMzgvNDNiODhmZmE5YTQ5MTJhYTNiMGVjNTcyMGIyN2UyOGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
19a94a14e4e9,11378283,Moraine Loop,AllTrails,3.8,154.0,2070,1,74.0,Loop,,3.8,17,Beaver Lake State Park,North Dakota,United States,46.39939,-99.61594,https://www.alltrails.com/trail/us/north-dakota/moraine-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzkzOTM0MjAvYzVhOWM4MjM4YWYxNDYxMzNhMjk1NDNjNDAyYjQzNDYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
45ce6bdb1482,10556959,North Country Trail: Sheyenne National Grassland,AllTrails,15.8,147.0,1089,3,277.0,Point-to-Point,,4.1,16,Sheyenne National Grassland,North Dakota,United States,46.39892,-97.46872,https://www.alltrails.com/trail/us/north-dakota/north-country-trail-sheyenne-national-grassland,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDAyMjI2NTEvNDAzNGNmY2I4MDllZmY1NGY5MjRjZjQzZGFhYmQyMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
