Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
f8b80c3a3e67,10548699,Platter Flats John Wayne Trail,AllTrails,4.5,160.0,675,3,87.0,Loop,,4.3,225,Platter Flats Equestrian Park,Oklahoma,United States,33.92244,-96.54244,https://www.alltrails.com/trail/us/oklahoma/platter-flats-john-wayne-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjA5ODUyMDYvNGNiYjdhNDZhOGFjNjkxMDYzN2YwN2Y0NDdlZDMxNTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
2f23976a7de7,11130302,Hickory Creek WMA Loop,AllTrails,11.6,874.0,797,3,253.0,Loop,,4.3,21,Hickory Creek WMA,Oklahoma,United States,33.98787,-97.05164,https://www.alltrails.com/trail/us/oklahoma/hickory-creek-wma-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzI0OTI0NDgvNzRmYzhlMzA5MjBhZmRhOTczNDc4MThlNjg4YWU1YmYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
2d5ad2df50fb,11249746,Lake Texoma State Park Equestrian Trails,AllTrails,8.0,560.0,734,1,172.0,Loop,,3.9,34,Lake Texoma State Park,Oklahoma,United States,33.99657,-96.64674,https://www.alltrails.com/trail/us/oklahoma/lake-texoma-state-park-equestrian-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODcyMTY2NzgvYjc1ZTc2NTM4MTRjYTk0ODMyODhlZjYzZTViYWFmM2QuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e1b7708f4b76,11366254,Crooked Smile Trail,AllTrails,1.3,52.0,629,1,25.0,Loop,,4.7,21,,Oklahoma,United States,34.01235,-96.37265,https://www.alltrails.com/trail/us/oklahoma/crooked-smile-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjUyOTA3NzIvNzM4YzEwNzM4ZDBkYzg0NDI3MTRjMTdkM2UzMTMzMDguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
57978af5220f,11349196,SOSU Softball Field to Campus Trail,AllTrails,1.0,35.0,623,1,19.0,Out & Back,,4.4,2,,Oklahoma,United States,34.01236,-96.37269,https://www.alltrails.com/trail/us/oklahoma/sosu-softball-field-to-campus-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTk5MzQzMTEvOGY5YTZkN2M5NzdhMmRhN2YzMjA2NDhlMWRhN2JkOGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
6d69a4af0b0c,10574531,Friends Trail Loop,AllTrails,1.5,285.0,721,3,44.0,Loop,,4.8,7055,Beavers Bend State Park,Oklahoma,United States,34.14524,-94.69002,https://www.alltrails.com/trail/us/oklahoma/friends-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA2OTMzMjQvNzhkMWQ2ODdmZWI1ZWQ0ODA0YzEwZGIzZDMzNjJjNjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
dcd6739ed210,10243752,Skyline Trail,AllTrails,8.6,1663.0,882,5,253.0,Loop,,4.5,1958,Beavers Bend State Park,Oklahoma,United States,34.14488,-94.69019,https://www.alltrails.com/trail/us/oklahoma/skyline-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDA4MTQwMTgvMDUyZDQxODgyMzlkYTk1YzNjYWJmNmM4MDM2YzRlYmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c1c4a8636c67,10328070,Cedar Bluff Nature Trail,AllTrails,0.8,164.0,603,3,24.0,Loop,,4.6,2254,Beavers Bend State Park,Oklahoma,United States,34.1374,-94.69277,https://www.alltrails.com/trail/us/oklahoma/cedar-bluff-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk2NjU5MDAvZmM1MjM1ODRiYzAwNDU4YzUzYzYwMjllMTQ3NjVmNDEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d592631d9af9,10324082,Tree Trail,AllTrails,1.2,113.0,508,1,28.0,Loop,,4.6,2084,Beavers Bend State Park,Oklahoma,United States,34.13263,-94.68046,https://www.alltrails.com/trail/us/oklahoma/tree-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTM4NDE1NTUvNmY3ODIzMWRjMmI1ZmEzYzljNGFhM2EyNTMzODVkM2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e24adb43acc2,10016294,Lakeview Lodge Trail,AllTrails,3.7,275.0,787,3,81.0,Loop,,4.6,1879,Hochatown State Park,Oklahoma,United States,34.17426,-94.72521,https://www.alltrails.com/trail/us/oklahoma/lakeview-lodge-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjU2NTA3MzUvMzc2OWE4MzJkM2RhNGZjNzk3MGViM2IzMTRiYWIzYmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
