Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
61665c457b96,10032282,Secret Beach Trail,AllTrails,1.9,406.0,232,3,,Out & Back,,4.8,1852,Samuel H. Boardman State Scenic Corridor,Oregon,United States,42.19189,-124.36705,https://www.alltrails.com/trail/us/oregon/secret-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI4NDUxNTcvYzQxNGIxMzhkZjFhYjNhNzM3Nzg1YTlkYjA3NmUxYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
a7fb9b9785d6,10018742,Indian Sands Trail,AllTrails,1.1,288.0,374,3,37.0,Loop,,4.6,1276,Samuel H. Boardman State Scenic Corridor,Oregon,United States,42.15708,-124.36134,https://www.alltrails.com/trail/us/oregon/indian-sands-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI2ODk5NDgvMDkxMTRiNjIxY2UzODVkMDk2ODNlNTZiZmIxODg0MjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
95d746ca7949,10576361,Natural Bridges Viewpoint Trail,AllTrails,0.6,62.0,288,3,15.0,Out & Back,,4.4,1022,Samuel H. Boardman State Scenic Corridor,Oregon,United States,42.1901,-124.36594,https://www.alltrails.com/trail/us/oregon/natural-bridges-viewpoint-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDE2NzEwOTQvZGZhMDdjMjY1OWIxYWQzNzI5ZDY0YzhiMjQ4MDE5ZTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e2fbcc48c2cf,10031717,Natural Bridges Cove: North Island Viewpoint (China Beach) Trail,AllTrails,0.5,154.0,272,3,19.0,Out & Back,,4.6,726,Samuel H. Boardman State Scenic Corridor,Oregon,United States,42.19013,-124.36591,https://www.alltrails.com/trail/us/oregon/natural-bridges-cove-north-island-viewpoint-china-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTkyOTc0NTMvODAyYWRhNDI5Y2RlYWYzZTNhNGIxZTU0ODJhMzJmNmMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1a6bf62ff0b7,10027192,Thomas Creek Whaleshead Beach Trail,AllTrails,2.9,573.0,377,3,86.0,Loop,,4.7,558,Samuel H. Boardman State Scenic Corridor,Oregon,United States,42.14694,-124.3554,https://www.alltrails.com/trail/us/oregon/thomas-creek-whaleshead-beach-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjg2NDIxODcvYmE3NDZlZmYzZWU2YjgwZGExOTliZTc2OTI2Mjg5ZTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e6bda2edaa67,10350096,"Cheshire Cat, White Rabbit and Oredsen-Todd Woods Loop Trail",AllTrails,3.0,888.0,3251,3,108.0,Loop,,4.5,641,Siskiyou Mountain Park,Oregon,United States,42.16803,-122.67678,https://www.alltrails.com/trail/us/oregon/cheshire-cat-white-rabbit-and-oredsen-todd-woods-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzIyODIyNjAvZGIzZWI5YWU0OTg0M2VkMTE0OWZjZmNjOTczOTYzNzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ee64b39a2bc9,10031721,Redwood Nature Trail,AllTrails,1.1,321.0,390,3,39.0,Loop,,4.6,424,Rogue River–Siskiyou National Forest,Oregon,United States,42.11869,-124.1958,https://www.alltrails.com/trail/us/oregon/redwood-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTg5OTg0OTgvMWQ1ZDQyMTc1MjY1YTQyMzJlNzBlZGI4Yzg1MjQ1M2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1d3c824c410f,10613729,Red Queen and Alice in Wonderland Loop,AllTrails,4.8,1020.0,3362,3,145.0,Loop,,4.6,420,Rogue River–Siskiyou National Forest,Oregon,United States,42.18282,-122.712,https://www.alltrails.com/trail/us/oregon/red-queen-and-alice-in-wonderland-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc1NjM1NjkvNDE0OThjMzMyNjhlMTkwNjE2NDNiYjkzMjg5YTEyMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b3086d07a2f5,10556434,Green Springs Mountain Loop Trail,AllTrails,2.8,331.0,4973,1,69.0,Loop,,4.6,360,,Oregon,United States,42.1402,-122.49736,https://www.alltrails.com/trail/us/oregon/green-springs-mountain-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzU4MjIxMzcvMzZmN2YyNDNkM2VmMDYwZmNlOWU0ZTI0YTQyNTJkZGUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
10b78fa9dd7c,10027241,Pilot Rock Trail,AllTrails,2.8,852.0,5793,7,,Out & Back,,4.7,457,Soda Mountain Wilderness,Oregon,United States,42.03657,-122.57082,https://www.alltrails.com/trail/us/oregon/pilot-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE0NTg1MTAvMTliMWRjOTdmNjE0OGZiMjA0YWY3ZTBlYzAzOWMzYTYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
