Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
a6e58029d894,10024552,Kelly's Run Loop Trail,AllTrails,3.8,629.0,734.0,3,105.0,Loop,,4.7,3757,Kellys Run Nature Preserve,Pennsylvania,United States,39.84087,-76.31661,https://www.alltrails.com/trail/us/pennsylvania/kellys-run-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTYzNTg4NDYvNDE4ZDQ2NWMzYjM4MGRiYzY3YjIyOWEwODRlYmU1MTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
81dee7435868,10338178,"Great Gorge, Great Allegheny Passage Loop",AllTrails,2.8,285.0,1269.0,3,67.0,Loop,,4.6,1697,Ohiopyle State Park,Pennsylvania,United States,39.86284,-79.50272,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-great-allegheny-passage-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTIyNDg5NDMvOTk2NDkyZDUwODY1ODA0ODgyNTBiYmU3YTBmODhlYTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c8aba0cceb95,10037811,Ferncliff Trail,AllTrails,1.8,136.0,1236.0,1,39.0,Loop,,4.7,1829,Ohiopyle State Park,Pennsylvania,United States,39.87221,-79.49479,https://www.alltrails.com/trail/us/pennsylvania/ferncliff-peninsula-natural-area,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzkyNjU5NjIvOTgxYzFmY2YyNTUzNjc2NjBiNWMxNzk0OTBlNjdiYTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ade124ad18f0,10038656,John Heinz Lake Loop,AllTrails,3.5,32.0,13.0,1,62.0,Loop,,4.6,2086,John Heinz National Wildlife Refuge,Pennsylvania,United States,39.89254,-75.25756,https://www.alltrails.com/trail/us/pennsylvania/john-heinz-lake-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjE5ODIyOTAvYjM5NGUyZmM2ZDkzMzhhZjE0ZGQ0ZGExY2U3NjgzYTMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
6c909608cb87,10239516,Meadow Run Trail,AllTrails,3.0,432.0,1601.0,3,79.0,Loop,,4.7,1428,Ohiopyle State Park,Pennsylvania,United States,39.85352,-79.49721,https://www.alltrails.com/trail/us/pennsylvania/meadow-run-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzE3NzY5MjMvMGVlYTEyZDA3NjhiOWJmNWZkNDMwMDM5NDkzMjhiM2IuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
7d1c62cbb4e5,10001836,Great Gorge Trail,AllTrails,3.6,344.0,1272.0,3,83.0,Out & Back,,4.5,983,Ohiopyle State Park,Pennsylvania,United States,39.86207,-79.49505,https://www.alltrails.com/trail/us/pennsylvania/great-gorge-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjM1MjQ3MTUvY2I5NDQwYTk5ZDcxZDY2MmY2YTk4NDFhYWM2ZTA3MTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
f39f03fcd0a0,10029313,Chimney Rocks via Hermitage and Appalachian National Scenic Trail ,AllTrails,4.4,987.0,1945.0,3,138.0,Loop,,4.7,1348,Michaux State Forest,Pennsylvania,United States,39.79729,-77.47995,https://www.alltrails.com/trail/us/pennsylvania/chimney-rocks-michaux-state-forest,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzc2MTQ5MDEvOThlNzQ5NDEwN2Y2ZjU3N2Q1NTJhZTE1NTA2ZGNmNWQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
65f316c5d1b0,10332529,Cucumber Falls,AllTrails,0.3,71.0,1250.0,3,10.0,Out & Back,,4.6,722,Ohiopyle State Park,Pennsylvania,United States,39.8628,-79.5028,https://www.alltrails.com/trail/us/pennsylvania/cucumber-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTA4MjY4NzUvMjU1MzFmZDRhNDU0NjY5NmRhMjkyZDNmMzJiZGI5NzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b23d27084f07,10291069,Pinnacle Overlook from Pequea via Conestoga Trail,AllTrails,11.1,3106.0,702.0,5,388.0,Out & Back,,4.6,1056,,Pennsylvania,United States,39.88834,-76.36636,https://www.alltrails.com/trail/us/pennsylvania/pinnacle-overlook-from-pequea-via-conestoga-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY5NjM1MTcvYTFlZGIyYTFhOWRjNjFhMTBiYzQwMjA4NGI2OGRkZGIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
af59279f4c9b,10246192,Mason-Dixon Trail: Lock 12 to E Posey Rd,AllTrails,9.8,1666.0,734.0,5,273.0,Out & Back,,4.6,1379,,Pennsylvania,United States,39.81335,-76.32792,https://www.alltrails.com/trail/us/pennsylvania/mason-dixon-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzM4OTQ4ODQvZWMyYmEwNzRiYjlhYzA5OWFmZjc2YzdiNjA0ZGM0ZGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
