Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
e433c146ff06,10263237,Napatree Point Conservation Area Trail,AllTrails,3.1,32,19,3,55.0,Loop,,4.6,890,,Rhode Island,United States,41.30997,-71.8596,https://www.alltrails.com/trail/us/rhode-island/napatree-point-conservation-area-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzE5OTA5MjAvNWQzMzlmNTM5OTdhMjNiZTYyNmE3NTk3NTY3NzM2NjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
0099188cc187,10029151,Clay Head Trail,AllTrails,3.5,196,114,1,72.0,Out & Back,,4.6,462,,Rhode Island,United States,41.20965,-71.5685,https://www.alltrails.com/trail/us/rhode-island/clay-head-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTE3NTQyMjAvMjgzYWU2ZGUwYzBiNTU1OGI5MmQ3ZjIwZDk1NTE2ZTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1e0019685542,10281521,Dr. John Champlin Glacier Trail ,AllTrails,2.3,154,104,1,49.0,Loop,,4.5,633,,Rhode Island,United States,41.34327,-71.80624,https://www.alltrails.com/trail/us/rhode-island/dr-john-champlin-glacier-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTQyODk4NDYvNjVhNWRhNWRkMDdkZDg0MTYzM2Q4MjNiOGRhMmIzMTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
831e5f3e3d7e,10749202,Block Island Greenway Traverse: Payne Rd to Beacon Hill Rd,AllTrails,5.6,435,170,3,123.0,Point-to-Point,,4.6,213,,Rhode Island,United States,41.16025,-71.56439,https://www.alltrails.com/trail/us/rhode-island/block-island-greenway-traverse-payne-rd-to-beacon-hill-rd,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc1NjIxNjUvMDY3MWY4ZjY4NGJiMTU3YjUyMjQ3ZGJkM2NhM2M2NjAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
28bccd3a83e8,10038740,Rodman's Hollow Trail,AllTrails,0.9,98,134,1,22.0,Loop,,4.6,206,Rodman's Hollow Nature Preserve,Rhode Island,United States,41.15753,-71.59099,https://www.alltrails.com/trail/us/rhode-island/rodmans-hollow-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzI2MjY4MTkvODQwYWY2ZjM4OGVjZDk4ODk2NjJmNDcwMWZkOGI4ZGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8c49fc9ca23c,10111839,North South Trail: Charlestown to Wood River Junction,AllTrails,11.8,672,200,3,241.0,Point-to-Point,,4.5,129,East Beach State Beach,Rhode Island,United States,41.34374,-71.69008,https://www.alltrails.com/trail/us/rhode-island/north-south-trail-charlestown,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDMyMTk5MTkvNTk3NGJmOTYxNjI4OWZhMWI0YWQ2ZGI4M2NhMDBiZjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
317d05594519,10346424,North Lighthouse Trail,AllTrails,1.2,21,26,1,22.0,Out & Back,,4.5,95,,Rhode Island,United States,41.2246,-71.56752,https://www.alltrails.com/trail/us/rhode-island/north-lighthouse-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDExMDQwMDQvODFjNGI5ZmU4MDZiMjMyMTZiZDcxN2I5ZGMyODg0NjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
38cae410d7a1,10030793,Mohegan Bluffs Trail,AllTrails,0.2,29,141,1,,Out & Back,,4.4,98,,Rhode Island,United States,41.15293,-71.55528,https://www.alltrails.com/trail/us/rhode-island/mohegan-bluffs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzc1NjY1ODMvZmEyNmI5Y2EwNWVmYTQ2M2RhYzI1MTMzZDVkNWFjM2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8bec5a668961,10353784,Dickens Point,AllTrails,0.7,21,62,1,13.0,Out & Back,,4.6,70,Lewis-Dickens Farm Nature Preserve,Rhode Island,United States,41.15471,-71.60561,https://www.alltrails.com/trail/us/rhode-island/dickens-point,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjc2OTc3NjIvNDlhZmNjY2Y3YmI2MzUyZDkzNjZmZmNjNTIxMTU0ZTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b4864d30ec8c,10845184,North South Full Trail,AllTrails,75.3,4694,803,5,1555.0,Point-to-Point,,4.4,58,,Rhode Island,United States,41.34209,-71.6947,https://www.alltrails.com/trail/us/rhode-island/north-south-full-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg1NjUwNTUvMmEzYzUyNmRkNTkyNjdiOTM1NTVlMTBkMjFmYmI3Y2YuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
