Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
6575ddb44a54,10039413,Stone State Park Loop Trail,AllTrails,3.1,462,1410,3,82.0,Loop,,4.2,332,Stone State Park,South Dakota,United States,42.55212,-96.45861,https://www.alltrails.com/trail/us/iowa/stone-state-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvOTg1NDcyMzcvZWRmMTYxMDMwYmRhNzdmMzAzOTY2ZDY3NDE5NzYyNDQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b53515d29798,10301907,Adams Nature Preserve Loop,AllTrails,7.7,59,1112,1,134.0,Loop,,4.5,79,Adams Homestead and Nature Preserve,South Dakota,United States,42.53877,-96.52829,https://www.alltrails.com/trail/us/south-dakota/adams-nature-preserve-big-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI3NDk3MTEvMDRkYjBhZTczNzUwNzFmYTYzOTk2NTkzMjBmMjA4N2QuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
aedba1d32399,10405261,Lake Loop to Cottonwood Crossing,AllTrails,4.7,29,1108,1,82.0,Loop,,4.5,82,Adams Homestead and Nature Preserve,South Dakota,United States,42.53912,-96.52754,https://www.alltrails.com/trail/us/south-dakota/lake-loop-to-cottonwood-crossing,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjI3NDk3OTYvZWNmMDU4MTRjODg1NzY5ZjYyMjUyMzc3NTIzOTJiOTEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
12f61a325bb4,11297115,Adams River Loop,AllTrails,5.9,44,1112,1,103.0,Loop,,4.6,48,Adams Homestead and Nature Preserve,South Dakota,United States,42.53888,-96.52806,https://www.alltrails.com/trail/us/south-dakota/adams-river-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM5MjA3MTgvNTdlMGNjMjhhODkzNzA3N2E0OGVhMDJmNWEwMmZjNWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
2ffd64633835,10609658,Mary's Avenue Loop,AllTrails,3.5,21,1108,1,61.0,Loop,,4.6,29,Adams Homestead and Nature Preserve,South Dakota,United States,42.53933,-96.52802,https://www.alltrails.com/trail/us/south-dakota/mary-s-avenue-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY4MTgyMTgvYWIxNDczNzU5N2JkYTM2MzUxZTE5YWZiNGRjZmRkNjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8a03c51e9b53,11312849,Donkey Run Loop,AllTrails,1.2,16,1112,1,21.0,Loop,,4.8,23,Adams Homestead and Nature Preserve,South Dakota,United States,42.53904,-96.52801,https://www.alltrails.com/trail/us/south-dakota/donkey-run-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQ5NzE2NzQvZTQzOWE4MDUxNDU4NTEwMTdkZWE1NWQ0YzdjM2ZkMTQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8bd4ae4c31ce,10217490,Chalk Bluffs Multi-Use Trail,AllTrails,3.7,652,1407,3,104.0,Loop,,4.6,317,Midway Recreation Area,South Dakota,United States,42.8604,-97.55497,https://www.alltrails.com/trail/us/south-dakota/chalk-bluffs-multi-use-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjg2NDExNzcvNTcxOWY1ZTkwYTg1ZmQ2ZmZmZjA4OTZkNmQ0NWQ2YjguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3fea08aa0f16,10217492,Gavin's Point Nature Trail,AllTrails,1.2,127,1315,1,29.0,Loop,,4.5,140,Lewis & Clark Recreation Area,South Dakota,United States,42.86025,-97.55016,https://www.alltrails.com/trail/us/south-dakota/gavins-point-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzUyNzYxMjYvM2Y3OGIwM2E2MmEyMThmYzg4NWQ4NmE0NzljNTg5YjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e86624581829,10339505,Yankton South Shore Trail ,AllTrails,3.8,359,1364,1,87.0,Out & Back,,4.6,135,,South Dakota,United States,42.84416,-97.48897,https://www.alltrails.com/trail/us/south-dakota/yankton-south-shore-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTI2MTgyNDkvMGVmMWY1ZTUwNDA1MDJlMTVlZDAyY2I0NGUxN2M1NTcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4a84b8de662c,10187415,Spirit Mound Historic Prairie Trail,AllTrails,1.4,121,1302,1,32.0,Out & Back,,4.6,105,Spirit Mound Historic Prairie,South Dakota,United States,42.86752,-96.95609,https://www.alltrails.com/trail/us/south-dakota/spirit-mound-historic-prairie-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjYwMDQzMjQvMWU3MjU3ZjVhZjUyZWQ4ZWRjOWFjY2VhYWU4NzU2ZjcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
