Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
87df9d2c68c8,10018210,Edward's Point Trail,AllTrails,3.9,761.0,1735,3,,Out & Back,,4.7,3076,Prentice Cooper State Forest,Tennessee,United States,35.12483,-85.36181,https://www.alltrails.com/trail/us/tennessee/edwards-point-trail--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzkzNzIxMzIvNWY3MDAzOTM0YjgzODA4YWUzMjQyMGRkOTA1YzYzYmUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ccab18a616a7,10295277,Sunset Rock via Craven's House Trail,AllTrails,3.2,469.0,1942,3,,Out & Back,,4.7,2194,Chickamauga and Chattanooga National Military Park,Tennessee,United States,35.0136,-85.34175,https://www.alltrails.com/trail/us/tennessee/sunset-rock-via-cravens-house-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDk3MTYzNzMvOTg5MzBhNTkzNjg3MzE4NWY5NDUxNTdiMzQwMGUzNmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
307319df543f,10290332,"Rainbow Falls via Signal Point, Rainbow Lake, and Ohio Ave",AllTrails,2.6,590.0,1765,5,,Loop,,4.6,2114,Signal Point Park,Tennessee,United States,35.12042,-85.36668,https://www.alltrails.com/trail/us/tennessee/rainbow-falls--3,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTM3NjA0NDcvOWZiMGZiZjAwZWVhODVhMThiOWYzNjhmYjcxYTQxNzcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5fd9bde60a9e,10775728,Foster Falls Climbers Loop Trail,AllTrails,1.7,347.0,1765,3,,Loop,,4.7,2303,South Cumberland State Park,Tennessee,United States,35.18235,-85.67391,https://www.alltrails.com/trail/us/tennessee/climbers-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMTAwODM2MTE1Lzk2MDhlMTNkYzAzNTY5NmQ0MjBlN2Q4YmZhNjA4NDllLmpwZyIsImVkaXRzIjp7InRvRm9ybWF0Ijoid2VicCIsInJlc2l6ZSI6eyJ3aWR0aCI6MTA4MCwiaGVpZ2h0Ijo3MDAsImZpdCI6ImNvdmVyIn0sInJvdGF0ZSI6bnVsbCwianBlZyI6eyJ0cmVsbGlzUXVhbnRpc2F0aW9uIjp0cnVlLCJvdmVyc2hvb3REZXJpbmdpbmciOnRydWUsIm9wdGltaXNlU2NhbnMiOnRydWUsInF1YW50aXNhdGlvblRhYmxlIjozfX19,2025-06-18
2969a882a619,10247609,Glen Falls Trail,AllTrails,1.2,311.0,1384,3,41.0,Out & Back,,4.6,2604,Chickamauga and Chattanooga National Military Park,Tennessee,United States,34.99222,-85.34079,https://www.alltrails.com/trail/us/tennessee/glen-falls-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNTk5MDMwNzMvY2E1YTQxZmIyYzNlZTBkOTBhOGI0MTQxY2VjMDQyNTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d39149ccadd1,10013668,Benton Falls Trail,AllTrails,3.0,308.0,1889,1,71.0,Out & Back,,4.7,2386,Cherokee National Forest,Tennessee,United States,35.15011,-84.60758,https://www.alltrails.com/trail/us/tennessee/benton-falls-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDczNTM3ODIvYjY1ODY2ZTNmZmYyMTFkODk4NjUyNTA5NWNlMjc4NzMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8d1ae059845d,10257872,Cravens House Loop Trail,AllTrails,3.4,679.0,1916,3,101.0,Loop,,4.7,1535,Chickamauga and Chattanooga National Military Park,Tennessee,United States,35.01373,-85.34184,https://www.alltrails.com/trail/us/tennessee/cravens-house-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjI4MTk3MTQvNzIzZWYxYzFjYzk1NzUzNWJiOTk4NjAxNTJmZDhmMzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b7a11092e847,10235187,Snoopers Rock Trail,AllTrails,6.0,1137.0,1870,3,175.0,Out & Back,,4.7,1838,Prentice Cooper State Forest,Tennessee,United States,35.13278,-85.41926,https://www.alltrails.com/trail/us/tennessee/snoopers-rock-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjgxMzQzMTUvY2Y2YmYzY2QzZmYyZjM4M2M5ZWYwYWZjNDhkMzZiNDkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
b4cc9a617b24,10243950,Rainbow Lake and Bee Branch Trail Loop,AllTrails,2.2,344.0,1735,3,60.0,Loop,,4.5,1684,Prentice Cooper State Forest,Tennessee,United States,35.12481,-85.3618,https://www.alltrails.com/trail/us/tennessee/rainbow-lake-and-bee-branch-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDY5MTAyODIvZDNjNjY5NDliZWFlNDk1MTIwYzM1NjBmY2Y1NGQ2NzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
99e5ae413d28,10236852,Sunset Rock via Point Park,AllTrails,3.0,435.0,2112,3,79.0,Out & Back,,4.7,1108,Point Park,Tennessee,United States,35.00985,-85.34378,https://www.alltrails.com/trail/us/tennessee/sunset-rock-via-point-park,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzM2ODIxMjUvNDA4NWVlMmU1NWI4MGU1Yjk5MjkxOTY0YTM0YjkwMzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
