Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
67402b21d657,10319069,Montebella Park Loop,AllTrails,3.2,19.0,36,1,55.0,Loop,,4.5,132,,Texas,United States,25.95333,-97.5411,https://www.alltrails.com/trail/us/texas/montebella-park-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDI4OTQ3MjYvNjIyOTE0NTcwNDdmZTUyOTRkZjU0YThhMTRmYWIyZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
1b07e71809df,10389300,Brownsville Historic Battlefield Trail ,AllTrails,17.0,124.0,45,1,296.0,Out & Back,,4.5,153,,Texas,United States,25.91716,-97.49553,https://www.alltrails.com/trail/us/texas/brownsville-historic-battlefield-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjY4NDY1ODYvOGJmYTE3NmUzNjZlN2MyMTcyMGU3YjJhMTkwY2IwZmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
30a2ca4e6963,10774963,"Mesquite, Mexican Olive, Tram Road, Flycatcher, Yellowthroat Loop",AllTrails,5.6,26.0,42,1,97.0,Loop,,4.3,69,Resaca de la Palma State Park,Texas,United States,25.99654,-97.56902,https://www.alltrails.com/trail/us/texas/mesquite-mexican-olive-tram-road-flycatcher-yellowthroat-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzEwNzQ1OTYvOThiZjlhYTk4NTRmOTE5MDM1YzhlODVjOTU2MWUwMGQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3af4a78bd332,10396280,Mesquite Trail and Tram Loop,AllTrails,3.4,19.0,42,1,59.0,Loop,,4.5,60,Resaca de la Palma State Park,Texas,United States,25.99632,-97.57132,https://www.alltrails.com/trail/us/texas/mesquite-trail-and-tram-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkxNjc5OTUvNGZkNWFhN2NkOGUyYmJlM2E3MWQzOGY3ZWU0M2E5YTkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
44347b9345f9,11044893,Sabal Palm Sanctuary Trails,AllTrails,2.8,32.0,29,1,50.0,Loop,,4.3,30,Sabal Palm Sanctuary,Texas,United States,25.85239,-97.41734,https://www.alltrails.com/trail/us/texas/sabal-palm-sanctuary-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDkyMzAzMDAvNmMwNDZiMzgyZmZjYzZiNTNiYzRhNTY2Yzc5ZWI4ZDcuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
445e8590d107,11324699,"Bobcat, Forest, and Resaca Loop",AllTrails,1.5,21.0,26,1,27.0,Loop,,4.6,20,Sabal Palm Sanctuary,Texas,United States,25.85231,-97.41727,https://www.alltrails.com/trail/us/texas/bobcat-forest-and-resaca-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDQyNDc3MTEvZDQxOGVjOGIwMGRjMjQ5MTk1ZTA4YmVmYTBhOTFmYzUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
5d9c7912f0f2,10774961,Ebony Trail,AllTrails,0.5,3.0,39,1,9.0,Out & Back,,4.1,21,Resaca de la Palma State Park,Texas,United States,25.99664,-97.56851,https://www.alltrails.com/trail/us/texas/ebony-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzIxNTAyMDEvOGQ1MWU2OTA3OWU0ZjE1MzQ2MjhjNWNiYmYzMjJiNzQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e6bed29d7341,11327250,"Bobcat, Yellowthroat, White-winged Dove, Quail, Hunter's Lane Loop",AllTrails,6.1,3.0,39,1,104.0,Loop,,4.4,47,Resaca de la Palma State Park,Texas,United States,25.99626,-97.57137,https://www.alltrails.com/trail/us/texas/bobcat-yellowthroat-white-winged-dove-quail-hunter-s-lane-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDc3NzM1NDMvODRkZDlhOTU1OGJiZjc4MmRiMWY0Mjk0NjEyMTE1MjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
d05e11205b31,11268066,Bobcat Lane,AllTrails,2.6,3.0,39,1,44.0,Out & Back,,4.7,5,Resaca de la Palma State Park,Texas,United States,25.99628,-97.57136,https://www.alltrails.com/trail/us/texas/bobcat-lane,,2025-06-18
c77b7fbf72ac,10316630,Mission Bike Trail Loop,AllTrails,6.1,44.0,121,3,106.0,Loop,,4.7,1004,,Texas,United States,26.19267,-98.33058,https://www.alltrails.com/trail/us/texas/mission-bike-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjA0NjI2MTIvMmY0YTNmYmQyM2ZiNGI2ZTQxNDVjYjA2NjdhZmNiZWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
