Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
6e178fce3035,10263830,Wolf Lake Loop (Blue and Green Trail),AllTrails,3.9,150.0,846,1,76.0,Loop,,4.4,910,Richard Bong State Recreation Area,Wisconsin,United States,42.63411,-88.12401,https://www.alltrails.com/trail/us/wisconsin/wolf-lake-loop-blue-and-green-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjM2NjM3MzIvY2E0MDdlNzZhMjU2Yjc0ODMyMmIxNjA5NGYxNGMyZTguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
4b57cf4fa62a,10689789,Lake Geneva Shore Path- North Side,AllTrails,10.2,176.0,905,1,184.0,Point-to-Point,,4.8,351,,Wisconsin,United States,42.59147,-88.43887,https://www.alltrails.com/trail/us/wisconsin/lake-geneva-shore-trail-north-side,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY5NjQ4NTIvYzJiYWY1NzkzOGMyYmI4Y2Q2ZjA1ZDUwOTEzZjBiYzguanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
8d43b3f030f8,11037301,Kishwauketoe Loop,AllTrails,3.0,75.0,935,1,56.0,Loop,,4.6,518,Kishwauketoe Nature Conservancy,Wisconsin,United States,42.57888,-88.53223,https://www.alltrails.com/trail/us/wisconsin/kishwauketoe-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjYyNDg2MTAvMjE4ZWYzZTk1NTkyY2EyYTkwNTJiNTE3NzAyZDM4ZjIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
c79c362a7c99,10255530,Petrifying Springs Trail,AllTrails,2.5,75.0,652,1,47.0,Loop,,4.3,480,Petrifying Springs Park,Wisconsin,United States,42.64519,-87.86327,https://www.alltrails.com/trail/us/wisconsin/petrifying-springs-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzgzOTE4NjIvNTZmMmZhOGI0NWI3NGIzNjA2YmYyY2U5ZjQ1NjdjYzAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
45e6b160d569,10263916,South Lake Shore Lakefront Path,AllTrails,10.2,259.0,902,3,189.0,Point-to-Point,,4.8,243,,Wisconsin,United States,42.5458,-88.57018,https://www.alltrails.com/trail/us/wisconsin/geneva-lake-south-lake-shore-lakefront-path,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzg4NDkyODkvZWU2YjE2ZDdhY2E4NGE4ZGE0OTUwOTExOTk1MWQzZmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3da5c7e3c378,10257312,Silver Lake Loop,AllTrails,2.3,147.0,853,1,48.0,Loop,,4.5,789,Silver Lake County Park,Wisconsin,United States,42.55668,-88.14348,https://www.alltrails.com/trail/us/wisconsin/silver-lake-trails,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjYzNjY5MTYvM2Q4MTM0MWQ3MTI5ZDVjOGFkMWMxMTc4YzExM2M5YmIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
67837da35a61,10024226,Bristol Woods Hike Trail,AllTrails,2.5,134.0,790,3,51.0,Loop,,4.4,451,Bristol Woods County Park,Wisconsin,United States,42.53211,-88.00403,https://www.alltrails.com/trail/us/wisconsin/bristol-woods-hike-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjE5MDA2NzcvYzJjNjAwZWUxYmY3NmRjMDZmYTcwYTFmZjczNjRhYWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
db95435c0241,10025645,"Red, Yellow, and Orange Loop",AllTrails,8.4,209.0,849,1,156.0,Loop,,4.3,369,Richard Bong State Recreation Area,Wisconsin,United States,42.6346,-88.12448,https://www.alltrails.com/trail/us/wisconsin/red-yellow-and-orange-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMzY1NzYzOTAvNjM5NTg2ZGM5YWVhNjEwNmZmZDkyMTExYjIyYjVkZjYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
ec42e7f18135,10684981,Richard Bong Gray Trail and Yellow Trail Loop,AllTrails,4.1,110.0,843,1,77.0,Loop,,4.4,283,Richard Bong State Recreation Area,Wisconsin,United States,42.63449,-88.12448,https://www.alltrails.com/trail/us/wisconsin/richard-bong-gray-trail-and-yellow-trail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvMjY5NDkwNzQvYWFlODI4NmRlZDgxNDVhNzc4ZmY0MzBhYzA3OTYwMDMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
e5454720fc7c,10418924,Big Hill Park Nature Trail,AllTrails,3.0,203.0,898,3,64.0,Loop,,4.3,219,Big Hill Regional Park,Wisconsin,United States,42.55593,-89.04578,https://www.alltrails.com/trail/us/wisconsin/big-hill-park-nature-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODA4OTQzMDEvYzJjZTdjZTU2YThmMGI2YjEzNmIyOTMwOWFkMmVjZjQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
