Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
f55aa347cc98,10254271,Crow Creek Trail to Hidden Falls,AllTrails,3.8,380.0,7434,3,89.0,Out & Back,,4.8,1552,Curt Gowdy State Park,Wyoming,United States,41.17572,-105.24428,https://www.alltrails.com/trail/us/wyoming/crow-creek-trail-to-hidden-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk1NDMzMDcvNGQ5ZDZjMDdkMTMxN2I0OTRhMWQ2MzUyNzAwMTY4ODkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
7511277ea326,10033998,Turtle Rock Loop Trail,AllTrails,2.9,311.0,8244,1,69.0,Loop,,4.7,1631,Medicine Bow-Routt National Forest,Wyoming,United States,41.15951,-105.37565,https://www.alltrails.com/trail/us/wyoming/turtle-rock-loop-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzk3Nzk2NDAvNDhjNzU2OTBhYzhlMDBlNjU5ZDFlMmI0NDJmNDI3OTUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
81fd8aa97c59,10662742,Hidden Falls,AllTrails,3.1,387.0,7434,3,77.0,Out & Back,,4.7,673,Curt Gowdy State Park,Wyoming,United States,41.18015,-105.25084,https://www.alltrails.com/trail/us/wyoming/hidden-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjc3NTk0OTMvMzBhNGJiZTk5NTdmY2YyM2ViZjllN2MyYzhjYzFjZWYuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
82be3a602f40,10425708,"Crow Creek, Mo Rocka and Foxtrail Loop",AllTrails,3.8,428.0,7532,3,92.0,Loop,,4.7,422,Curt Gowdy State Park,Wyoming,United States,41.17579,-105.24442,https://www.alltrails.com/trail/us/wyoming/crow-creek-mo-rocka-and-foxtrail-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODU3NDk2NDgvODY4ZmI2M2ViZDYwMjQ1MWJlMzY0Njc4ZDNlNDFiYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3706b2d6b578,10687771,Reynolds Hill Loop,AllTrails,4.2,479.0,8143,3,102.0,Loop,,4.7,367,Medicine Bow-Routt National Forest,Wyoming,United States,41.16185,-105.34756,https://www.alltrails.com/trail/us/wyoming/reynolds-hill-loop--2,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzcwNjgyNjMvZjcxOTZjYjhmYTA5MmRhZDQ0OTk2Y2FjNjc3MDU3N2MuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
6b04940010f4,10299434,Stone Temple Circuit,AllTrails,3.8,472.0,7683,3,94.0,Loop,,4.7,404,Curt Gowdy State Park,Wyoming,United States,41.18021,-105.25074,https://www.alltrails.com/trail/us/wyoming/stone-temple-circuit,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjUwODA3MjgvMzMzODQ5OGQxMzA5MDMzOGRmN2Q4MmJjMzc3NDA0NzkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3401c2c67e3c,10270931,"Cliff Hanger, Canyons, and Crystal Ridge Trails Loop",AllTrails,6.9,871.0,7234,3,173.0,Loop,,4.5,230,Curt Gowdy State Park,Wyoming,United States,41.1611,-105.20647,https://www.alltrails.com/trail/us/wyoming/cliff-hanger-canyons-and-crystal-ridge-trails-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNzY4ODk1OTQvOWQ0OGRiYjdlZDYwNTRhNzMyZGNiZGNiMTU2OGNiNmQuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
637959cdae1d,10392154,Turtle Rock and Valley Massif Loop,AllTrails,4.2,400.0,8234,1,96.0,Loop,,4.4,156,Medicine Bow-Routt National Forest,Wyoming,United States,41.16083,-105.37605,https://www.alltrails.com/trail/us/wyoming/turtle-rock-and-valley-massif-loop,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNDg2MjQ2NjMvZDQ4ZjYyZjFhMmRiMTQ4OTc1YzE1YmEzZDM3NTNhMzAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
0004d1c3654d,10392193,Skeleton Trail and Cow Trail,AllTrails,6.3,679.0,8244,3,150.0,Loop,,4.6,199,Medicine Bow-Routt National Forest,Wyoming,United States,41.18888,-105.39307,https://www.alltrails.com/trail/us/wyoming/skeleton-trail-and-cow-trail,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvODU3NDk1MDkvY2I5ZmZlNTlhNmZiODYzNjUyNmUzMzVmNWQzMWMxZWUuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
3fc6ae4ef456,10536373,Green Mountain Falls Trail,AllTrails,6.4,761.0,8858,3,157.0,Out & Back,,4.6,138,Medicine Bow-Routt National Forest,Wyoming,United States,41.16004,-106.8912,https://www.alltrails.com/trail/us/wyoming/green-mountain-falls,https://images.alltrails.com/eyJidWNrZXQiOiJhc3NldHMuYWxsdHJhaWxzLmNvbSIsImtleSI6InVwbG9hZHMvcGhvdG8vaW1hZ2UvNjQzMTE1NTQvMmMzMzM4MDU5MGRiODBiNDJiODc1ZDA2MTQ5OGZmYWEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJ3ZWJwIiwicmVzaXplIjp7IndpZHRoIjoxMDgwLCJoZWlnaHQiOjcwMCwiZml0IjoiY292ZXIifSwicm90YXRlIjpudWxsLCJqcGVnIjp7InRyZWxsaXNRdWFudGlzYXRpb24iOnRydWUsIm92ZXJzaG9vdERlcmluZ2luZyI6dHJ1ZSwib3B0aW1pc2VTY2FucyI6dHJ1ZSwicXVhbnRpc2F0aW9uVGFibGUiOjN9fX0=,2025-06-18
